timestamp,load,ram_usage
19574202,0.551432,0.880705
20576304,0.571577,0.858057
21577849,0.579249,0.857438
22578311,0.586353,0.85971
23579235,0.575983,0.858057
24580378,0.579344,0.857438
25581462,0.5871,0.85971
26582323,0.5737,0.858057
27583885,0.5812,0.857438
28585437,0.590424,0.85971
29587372,0.578316,0.858057
30588232,0.581072,0.857438
31589157,0.593359,0.85971
32590591,0.567216,0.858057
33591193,0.552818,0.858057
34593407,0.566295,0.85971
35594555,0.556896,0.858057
36595747,0.550409,0.858057
37596325,0.564897,0.85971
38597831,0.555589,0.858057
39598200,0.561671,0.858057
40599180,0.566607,0.85971
41600228,0.550898,0.858057
42601479,0.554634,0.858057
43602753,0.56722,0.85971
44603042,0.55601,0.858057
45604520,0.5565,0.858057
46606276,0.570748,0.85971
47607032,0.554949,0.858057
48608843,0.555945,0.858057
49610038,0.562137,0.85971
50611100,0.557502,0.85971
51612032,0.551473,0.858057
52613139,0.554212,0.85971
53614077,0.563702,0.85971
54615567,0.553799,0.858057
55616358,0.553287,0.85971
56618415,0.568436,0.85971
57619032,0.555366,0.858057
58620032,0.551283,0.857438
59621037,0.570672,0.85971
60622249,0.550964,0.858057
61624247,0.551547,0.857438
62625073,0.566148,0.85971
63626038,0.55549,0.858057
64627547,0.554421,0.857438
65628222,0.559868,0.85971
