timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
34419893,-0.00130984,-0.00375807,0.00423421,0.992596,0.00190905,-0.00684464,-0.121253
34427893,-0.0019867,0.00232328,-0.000367924,0.992597,0.00190414,-0.00684035,-0.12125
34439904,-0.000273633,-0.00165053,0.00457845,0.992599,0.00188796,-0.0068446,-0.121233
34451926,-0.00417442,0.000101072,-0.000641293,0.992599,0.00187959,-0.00683168,-0.121235
34459893,-0.000920896,-0.00404958,0.00356373,0.9926,0.00186925,-0.00684706,-0.121223
34471894,-0.00354244,-0.00278113,0.00215114,0.992601,0.00185773,-0.00685265,-0.121215
34483895,0.00122179,-0.00118639,0.00175596,0.992603,0.0018543,-0.00687291,-0.121194
34491893,-0.000488621,-0.00172335,0.00335787,0.992604,0.00185312,-0.00687841,-0.121185
34503893,0.000844257,0.00163252,-0.000542721,0.992606,0.0018602,-0.00687731,-0.121173
34511893,-0.000192826,-0.00126222,0.00167387,0.992606,0.00185789,-0.00687973,-0.12117
34523893,0.00195578,-0.000374301,0.000175107,0.992607,0.00187517,-0.00688157,-0.121166
34535893,-0.00169173,-0.00176613,0.00245087,0.992609,0.00186648,-0.00689539,-0.121148
34543893,-0.0029624,-0.00179223,0.00110474,0.992609,0.00185461,-0.00690046,-0.121145
34555893,0.00118666,0.00152608,-9.74117e-05,0.99261,0.00185585,-0.00689682,-0.121135
34567893,-0.00220655,-0.00394425,0.00263418,0.992611,0.00184558,-0.00691496,-0.121128
34575893,-0.00282848,-0.00216963,-0.00019785,0.992611,0.00183458,-0.00692175,-0.121126
34587893,-0.00344679,-0.00353796,0.00341038,0.992613,0.0018116,-0.00694411,-0.121109
34595893,-0.00351787,-0.00330671,0.00139723,0.992614,0.00179547,-0.00695449,-0.121103
34607893,-0.000331754,0.00145174,9.45472e-05,0.992615,0.00179037,-0.00695721,-0.121093
34619893,0.00651339,0.0028527,0.00214297,0.992616,0.00180879,-0.00694804,-0.121088
34627893,0.00478272,0.00239137,0.000703664,0.992616,0.00183603,-0.00693752,-0.121083
34639894,0.000449427,2.55106e-05,0.00219141,0.992618,0.0018398,-0.00693996,-0.121069
34647892,-0.00423972,-0.00319384,0.00046095,0.992618,0.00182808,-0.00694405,-0.121067
34659893,-0.00059197,-0.00224431,0.00145875,0.992619,0.00180986,-0.00696831,-0.12106
34671893,0.00217096,0.00161467,0.00648556,0.992623,0.00181911,-0.00696693,-0.121025
34679893,0.000102157,0.00132442,-0.000145643,0.992624,0.00182249,-0.00695924,-0.12102
34691893,0.00159408,0.000821646,5.10606e-05,0.992624,0.00183225,-0.00695641,-0.121023
34703893,0.00131666,-0.00091284,0.00447716,0.992626,0.00183616,-0.00696368,-0.121004
34711893,-0.00248481,-0.000991159,0.000205746,0.992627,0.00183104,-0.00696503,-0.120998
34723893,-0.00301632,-0.00226355,-0.000294059,0.992626,0.0018086,-0.00698005,-0.121
