timestamp,load,ram_usage
34146394,0.589606,0.822321
35154911,0.561189,0.823981
36162402,0.55691,0.823981
37168310,0.551501,0.822321
38175039,0.559535,0.823981
39180837,0.552373,0.822321
40187374,0.553686,0.822321
41193404,0.566728,0.823981
42200020,0.554784,0.822321
43206589,0.553787,0.821698
44212273,0.561968,0.823981
45220065,0.549118,0.822321
46228904,0.549262,0.821698
47234410,0.565204,0.823981
48240509,0.554851,0.822321
49246759,0.556056,0.821698
50253343,0.568131,0.823981
51259064,0.549449,0.822321
52266720,0.566667,0.823981
53272603,0.556257,0.823981
54278938,0.549086,0.822321
55285136,0.568427,0.823981
56291764,0.560147,0.822321
57297550,0.556817,0.822321
58304385,0.574258,0.823981
59310751,0.56121,0.822321
60316443,0.558079,0.821698
61324886,0.568752,0.823981
62330833,0.550219,0.822321
63336795,0.556588,0.821698
64342419,0.572226,0.823981
65348506,0.561117,0.822321
66354960,0.56056,0.821698
67361646,0.569592,0.823981
68369232,0.558918,0.822321
69375515,0.566333,0.823981
70382995,0.557481,0.823981
71388763,0.558017,0.822321
72396773,0.57207,0.823981
73403046,0.559826,0.822321
74409193,0.559676,0.822321
75416286,0.568465,0.823981
76422938,0.556756,0.822321
77430601,0.562047,0.821698
78436193,0.567086,0.823981
79443979,0.560903,0.822321
80450256,0.557985,0.821698
81458099,0.563362,0.823981
82466456,0.560416,0.822321
83472200,0.560335,0.821698
84479490,0.571128,0.823981
85485761,0.555955,0.822321
86491677,0.561151,0.823981
87497177,0.555,0.823981
88504263,0.55225,0.822321
89509828,0.565717,0.823981
90517295,0.551144,0.822321
91523289,0.553794,0.821698
92529416,0.568468,0.823981
93535762,0.557634,0.822321
94542390,0.556895,0.821698
95548367,0.564677,0.823981
96555730,0.555187,0.822321
97562375,0.556038,0.821698
98567546,0.56863,0.823981
99572338,0.550691,0.822321
100577281,0.555715,0.821698
101583424,0.5662,0.823981
102590033,0.556592,0.822321
103595936,0.560978,0.823981
104602335,0.558041,0.823981
105610386,0.557219,0.822321
106616426,0.565151,0.823981
107621225,0.550248,0.822321
108630117,0.553005,0.822321
109637324,0.565736,0.823981
110647162,0.554825,0.822321
111653356,0.548238,0.821698
112659207,0.564599,0.823981
113665636,0.552856,0.822321
114672337,0.552734,0.821698
115678233,0.569978,0.823981
116684329,0.551152,0.822321
117690675,0.552339,0.821698
119703471,0.547458,0.822321
120708904,0.563388,0.823981
121714364,0.559729,0.823981
122719701,0.561147,0.822321
123725183,0.566038,0.823981
124733877,0.557755,0.822321
125740322,0.55931,0.822321
126746975,0.573434,0.823981
127753121,0.554143,0.822321
128758605,0.555707,0.821698
129766337,0.567901,0.823981
130772436,0.5551,0.822321
131778641,0.561062,0.821698
132784699,0.566111,0.823981
133790985,0.561868,0.822321
134799134,0.559216,0.821698
135808038,0.561829,0.823981
136813534,0.559063,0.822321
137818597,0.567083,0.823981
138826739,0.561797,0.823981
139833204,0.558427,0.822321
140838669,0.571538,0.823981
141843976,0.557682,0.822321
142851810,0.559908,0.821698
143858190,0.565157,0.823981
144864289,0.55575,0.822321
145870208,0.558879,0.821698
146876834,0.569413,0.823981
147882178,0.55364,0.822321
148887009,0.554681,0.821698
149894206,0.567612,0.823981
150902760,0.559969,0.822321
151910046,0.554156,0.821698
152916590,0.567815,0.823981
153922884,0.558984,0.822321
154929524,0.566488,0.823981
155935701,0.560053,0.823981
156944224,0.558444,0.822321
157951609,0.569177,0.823981
158957052,0.55195,0.822321
