timestamp,ref_timestamp,ref_lat,ref_lon,surface_bottom_timestamp,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,delta_vxy[0],delta_vxy[1],delta_vz,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
35772226,35772226,0.0,0.0,35772226,0.0,0.0,-0.074414,0.0,0.0,0.0,0.0,0.0,0.212592,0.0,0.0,0.0,-0.241046,1666.21,0.00361533,-0.212592,20.7008,0.106875,0,1,0,1,0,0,0,0,0,1,1
35872358,35872358,0.0,0.0,35872358,0.0,0.0,-0.0722717,0.0,0.0,0.0,0.0,0.0,0.206836,0.0,0.0,0.0,-0.240931,1666.21,0.00146807,-0.206836,20.7752,0.106878,0,1,0,1,0,0,0,0,0,1,1
35972495,35972495,0.0,0.0,35972495,0.0,0.0,-0.0754213,0.0,0.0,0.0,0.0,0.0,0.183004,0.0,0.0,0.0,-0.240808,1666.21,0.00461198,-0.183004,20.8497,0.106874,0,1,0,1,0,0,0,0,0,1,1
36072535,36072535,0.0,0.0,36072535,0.0,0.0,-0.0608615,0.0,0.0,0.0,0.0,0.0,0.143752,0.0,0.0,0.0,-0.240667,1666.21,-0.00994823,-0.143752,20.9241,0.106867,0,1,0,1,0,0,0,0,0,1,1
36173016,36173016,0.0,0.0,36173016,0.0,0.0,-0.0761355,0.0,0.0,0.0,0.0,0.0,0.0594376,0.0,0.0,0.0,-0.240522,1666.21,0.00532223,-0.0594376,20.999,0.106878,0,1,0,1,0,0,0,0,0,1,1
36273274,36273274,0.0,0.0,36273274,0.0,0.0,-0.0625872,0.0,0.0,0.0,0.0,0.0,0.0950816,0.0,0.0,0.0,-0.240361,1666.21,-0.00822597,-0.0950816,21.0737,0.105306,0,1,0,1,0,0,0,0,0,1,1
36373144,36373144,0.0,0.0,36373144,0.0,0.0,-0.0868696,0.0,0.0,0.0,0.0,0.0,0.0115576,0.0,0.0,0.0,-0.240227,1666.21,0.0160519,-0.0115576,21.1482,0.105252,0,1,0,1,0,0,0,0,0,1,1
36473241,36473241,0.0,0.0,36473241,0.0,0.0,-0.090445,0.0,0.0,0.0,0.0,0.0,0.146267,0.0,0.0,0.0,-0.240077,1666.21,0.0196183,-0.146267,21.2229,0.105224,0,1,0,1,0,0,0,0,0,1,1
36583417,36583417,0.0,0.0,36583417,0.0,0.0,-0.0686668,0.0,0.0,0.0,0.0,0.0,0.225723,0.0,0.0,0.0,-0.239889,1666.21,-0.00216393,-0.225723,21.3052,0.106863,0,1,0,1,0,0,0,0,0,1,1
36683681,36683681,0.0,0.0,36683681,0.0,0.0,-0.0728589,0.0,0.0,0.0,0.0,0.0,0.181248,0.0,0.0,0.0,-0.239778,1666.21,0.00202301,-0.181248,21.3802,0.106889,0,1,0,1,0,0,0,0,0,1,1
36783956,36783956,0.0,0.0,36783956,0.0,0.0,-0.086699,0.0,0.0,0.0,0.0,0.0,0.20085,0.0,0.0,0.0,-0.239612,1666.21,0.0158538,-0.20085,21.4552,0.106925,0,1,0,1,0,0,0,0,0,1,1
36883955,36883955,0.0,0.0,36883955,0.0,0.0,-0.0752519,0.0,0.0,0.0,0.0,0.0,0.266999,0.0,0.0,0.0,-0.239452,1666.21,0.00439998,-0.266999,21.5301,0.106877,0,1,0,1,0,0,0,0,0,1,1
36984113,36984113,0.0,0.0,36984113,0.0,0.0,-0.0835073,0.0,0.0,0.0,0.0,0.0,0.26417,0.0,0.0,0.0,-0.239281,1666.21,0.0126462,-0.26417,21.6051,0.106881,0,1,0,1,0,0,0,0,0,1,1
37084289,37084289,0.0,0.0,37084289,0.0,0.0,-0.0562659,0.0,0.0,0.0,0.0,0.0,0.278232,0.0,0.0,0.0,-0.239152,1666.21,-0.0145975,-0.278232,21.6802,0.106885,0,1,0,1,0,0,0,0,0,1,1
37184435,37184435,0.0,0.0,37184435,0.0,0.0,-0.0778835,0.0,0.0,0.0,0.0,0.0,0.120902,0.0,0.0,0.0,-0.238988,1666.21,0.00701525,-0.120902,21.7554,0.138298,0,1,0,1,0,0,0,0,0,1,1
37294514,37294514,0.0,0.0,37294514,0.0,0.0,-0.118247,0.0,0.0,0.0,0.0,0.0,-0.0627454,0.0,0.0,0.0,-0.238786,1666.21,0.0473746,0.0627454,21.8381,0.188058,0,1,0,1,0,0,0,0,0,1,1
37394625,37394625,0.0,0.0,37394625,0.0,0.0,-0.152448,0.0,0.0,0.0,0.0,0.0,-0.152154,0.0,0.0,0.0,-0.23862,1666.21,0.0815745,0.152154,21.9134,0.222544,0,1,0,1,0,0,0,0,0,1,1
37494795,37494795,0.0,0.0,37494795,0.0,0.0,-0.184649,0.0,0.0,0.0,0.0,0.0,-0.19575,0.0,0.0,0.0,-0.238473,1666.21,0.113775,0.19575,21.9888,0.239604,0,1,0,1,0,0,0,0,0,1,1
37594853,37594853,0.0,0.0,37594853,0.0,0.0,-0.191117,0.0,0.0,0.0,0.0,0.0,-0.191874,0.0,0.0,0.0,-0.238288,1666.21,0.120243,0.191874,22.0641,0.245289,0,1,0,1,0,0,0,0,0,1,1
37694907,37694907,0.0,0.0,37694907,0.0,0.0,-0.39202,0.0,0.0,0.0,0.0,0.0,-0.671011,0.0,0.0,0.0,-0.238199,1666.21,0.321147,0.671011,22.1395,0.246385,0,1,0,1,0,0,0,0,0,1,1
37794952,37794952,0.0,0.0,37794952,0.0,0.0,-0.373567,0.0,0.0,0.0,0.0,0.0,-0.43461,0.0,0.0,0.0,-0.237956,1666.21,0.302693,0.43461,22.215,0.24633,0,1,0,1,0,0,0,0,0,1,1
37895186,37895186,0.0,0.0,37895186,0.0,0.0,-0.325591,0.0,0.0,0.0,0.0,0.0,-0.19539,0.0,0.0,0.0,-0.237708,1666.21,0.254717,0.19539,22.2907,0.24643,0,1,0,1,0,0,0,0,0,1,1
37995271,37995271,0.0,0.0,37995271,0.0,0.0,-0.281984,0.0,0.0,0.0,0.0,0.0,-0.029142,0.0,0.0,0.0,-0.237586,1666.21,0.211109,0.029142,22.3663,0.246589,0,1,0,1,0,0,0,0,0,1,1
38105389,38105389,0.0,0.0,38105389,0.0,0.0,-0.245872,0.0,0.0,0.0,0.0,0.0,0.0752712,0.0,0.0,0.0,-0.23737,1666.21,0.174998,-0.0752712,22.4496,0.246872,0,1,0,1,0,0,0,0,0,1,1
38205588,38205588,0.0,0.0,38205588,0.0,0.0,-0.294871,0.0,0.0,0.0,0.0,0.0,-0.0838713,0.0,0.0,0.0,-0.237093,1666.21,0.223996,0.0838713,22.5255,0.247139,0,1,0,1,0,0,0,0,0,1,1
38305646,38305646,0.0,0.0,38305646,0.0,0.0,-0.240929,0.0,0.0,0.0,0.0,0.0,0.101076,0.0,0.0,0.0,-0.236755,1666.21,0.170054,-0.101076,22.6013,0.247232,0,1,0,1,0,0,0,0,0,1,1
38405691,38405691,0.0,0.0,38405691,0.0,0.0,-0.257807,0.0,0.0,0.0,0.0,0.0,0.000363324,0.0,0.0,0.0,-0.23661,1666.21,0.186932,-0.000363324,22.6771,0.247271,0,1,0,1,0,0,0,0,0,1,1
