timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
52400198,11.88,11.8522,12.1009,10.0434,46.242,0.720938,1.05614,3,1,0
52700166,11.814,11.8234,12.0423,10.9682,47.2757,0.710003,1.05847,3,1,0
53000884,11.814,11.7999,13.2143,11.581,48.3185,0.701032,1.06038,3,1,0
53300859,11.836,11.7721,14.4156,12.4142,49.4572,0.690602,1.06262,3,1,0
53600993,11.814,11.7579,12.892,12.95,50.6126,0.685607,1.0637,3,1,0
53901635,11.319,11.7349,10.8996,12.4749,51.6004,0.676125,1.06575,3,1,0
54201622,11.99,11.7594,8.8486,11.292,52.4006,0.685486,1.06373,3,1,0
54501602,12.045,11.7804,8.8779,10.3027,53.1355,0.693276,1.06205,3,1,0
54801660,11.407,11.7898,10.7238,10.0787,53.9416,0.696771,1.0613,3,1,0
55102479,11.583,11.7896,11.1047,10.307,54.8269,0.696614,1.06133,3,1,0
55402454,11.748,11.7935,11.0754,10.5282,55.735,0.698299,1.06097,3,1,0
55714473,11.759,11.7764,11.3098,10.7869,56.7011,0.691409,1.06245,3,1,0
56014470,11.704,11.7522,12.2474,11.3014,57.7089,0.681901,1.0645,3,1,0
56315257,11.693,11.75,10.6945,11.3541,58.6714,0.681203,1.06465,3,1,0
56615286,11.671,11.7443,9.5518,11.1726,59.5818,0.678801,1.06517,3,1,0
56915286,11.781,11.7461,10.9875,11.0905,60.4981,0.679477,1.06502,3,1,0
57216087,11.968,11.7537,10.9875,10.84,61.3711,0.682409,1.06439,3,1,0
57516076,11.869,11.762,10.4894,10.7795,62.2623,0.685737,1.06367,3,1,0
57816069,11.671,11.7644,9.4932,10.5584,63.1167,0.686417,1.06352,3,1,0
58116062,11.748,11.7698,10.841,10.401,63.9645,0.688504,1.06307,3,1,0
58416885,11.605,11.7544,10.8996,10.6231,64.8787,0.682217,1.06443,3,1,0
58716843,11.638,11.7393,11.0461,10.8194,65.8042,0.676101,1.06575,3,1,0
59016807,11.539,11.7226,10.8996,10.8994,66.7228,0.669217,1.06724,3,1,0
59317626,11.814,11.7286,10.1378,10.687,67.5893,0.671629,1.06672,3,1,0
59617669,11.803,11.7414,10.5187,10.5265,68.4457,0.676736,1.06561,3,1,0
59917658,11.77,11.7461,9.7862,10.3025,69.2752,0.678431,1.06525,3,1,0
60229682,11.858,11.7512,10.9289,10.3635,70.1767,0.680554,1.06479,3,1,0
60530467,11.539,11.7355,12.5697,11.0482,71.1807,0.674511,1.0661,3,1,0
60830469,11.704,11.7347,12.0716,11.4686,72.1938,0.6747,1.06605,3,1,0
61130462,11.803,11.7323,10.7238,11.3103,73.1169,0.673757,1.06626,3,1,0
61430424,11.792,11.734,10.5187,11.11,74.0198,0.674385,1.06612,3,1,0
61731249,11.638,11.7351,11.134,10.9231,74.9034,0.674687,1.06606,3,1,0
62031376,11.759,11.7322,11.1047,11.0373,75.8389,0.673564,1.0663,3,1,0
62331261,11.77,11.7122,11.427,11.1374,76.7801,0.665268,1.0681,3,1,0
