timestamp,voltage5V_v,usb_connected,brick_valid,servo_valid,periph_5V_OC,hipower_5V_OC
33739985,4.96128,0,1,1,0,0
34039995,5.04507,0,1,1,0,0
34339992,5.02251,0,1,1,0,0
34639989,5.00962,0,1,1,0,0
34939974,4.91133,0,1,1,0,0
35239956,5.04023,0,1,1,0,0
35539955,5.11274,0,1,1,0,0
35839955,4.89521,0,1,1,0,0
36149956,5.11919,0,1,1,0,0
36449958,4.99189,0,1,1,0,0
36749955,5.01445,0,1,1,0,0
37049955,4.92261,0,1,1,0,0
37350006,4.97417,0,1,1,0,0
37649955,5.04829,0,1,1,0,0
37949955,5.22715,0,1,1,0,0
38249955,5.11436,0,1,1,0,0
38549955,5.09341,0,1,1,0,0
38849956,5.16108,0,1,1,0,0
39159980,5.02251,0,1,1,0,0
39459976,5.01929,0,1,1,0,0
39759980,5.05474,0,1,1,0,0
40059989,5.1353,0,1,1,0,0
40359991,5.09341,0,1,1,0,0
40659993,5.23198,0,1,1,0,0
40959988,5.18848,0,1,1,0,0
41259955,4.91133,0,1,1,0,0
41559992,4.95645,0,1,1,0,0
41859956,5.1063,0,1,1,0,0
42169955,4.95967,0,1,1,0,0
42469986,5.10952,0,1,1,0,0
42769956,4.921,0,1,1,0,0
43069960,4.97578,0,1,1,0,0
43369956,5.19976,0,1,1,0,0
43669955,5.1627,0,1,1,0,0
43969955,5.1627,0,1,1,0,0
44269955,4.99512,0,1,1,0,0
44569955,4.92583,0,1,1,0,0
44869958,5.01768,0,1,1,0,0
45179977,4.94194,0,1,1,0,0
45479986,5.00156,0,1,1,0,0
45779975,4.99512,0,1,1,0,0
46079992,5.03218,0,1,1,0,0
46379992,4.96289,0,1,1,0,0
46679992,4.94839,0,1,1,0,0
46979991,5.02412,0,1,1,0,0
47279955,4.99834,0,1,1,0,0
47579955,5.11274,0,1,1,0,0
47879955,4.99834,0,1,1,0,0
48189956,5.31416,0,1,1,0,0
48489956,5.19814,0,1,1,0,0
48789956,5.01123,0,1,1,0,0
49089955,5.21265,0,1,1,0,0
49389956,5.13047,0,1,1,0,0
49689955,5.15625,0,1,1,0,0
49989955,4.90488,0,1,1,0,0
50289955,5.14336,0,1,1,0,0
50589956,4.95,0,1,1,0,0
50889955,5.08535,0,1,1,0,0
51199975,5.06763,0,1,1,0,0
51499975,5.15947,0,1,1,0,0
51799995,5.55103,0,1,1,0,0
52099988,5.02734,0,1,1,0,0
52399992,5.0354,0,1,1,0,0
52699992,5.08535,0,1,1,0,0
52999955,5.14336,0,1,1,0,0
53299955,4.9645,0,1,1,0,0
53599959,5.04668,0,1,1,0,0
