timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,airspeed_valid,quat_reset_counter
33763893,-0.111881,-0.0603429,-9.77017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992526,0.00173513,-0.0069416,-0.121822,0.0,0.0,0.0,0.0,-0.00108838,-0.000889821,0.00208175,0.0,0,0
33827893,-0.0980263,-0.0527615,-9.76732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992528,0.00169077,-0.00700031,-0.121801,0.0,0.0,0.0,0.0,-0.00375474,-0.00217936,0.00300787,0.0,0,0
33847893,-0.126649,-0.080856,-9.79507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99253,0.00168496,-0.00698768,-0.121793,0.0,0.0,0.0,0.0,0.000229291,0.00269497,0.00165494,0.0,0,0
33867893,-0.116422,-0.0376198,-9.77382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992535,0.00169277,-0.00698644,-0.121752,0.0,0.0,0.0,0.0,0.00206072,0.00018416,0.00308111,0.0,0,0
33891945,-0.087118,-0.0706451,-9.77613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992535,0.00171243,-0.0069914,-0.12175,0.0,0.0,0.0,0.0,-0.00150203,-0.00138599,0.00310247,0.0,0,0
33911894,-0.189747,-0.109642,-9.76825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99254,0.00169935,-0.00699352,-0.12171,0.0,0.0,0.0,0.0,0.000573905,0.000652526,-0.00215565,0.0,0,0
33931893,-0.133776,-0.0732958,-9.81652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992543,0.00172024,-0.00698723,-0.121687,0.0,0.0,0.0,0.0,0.00223594,0.00191334,0.0102994,0.0,0,0
33951893,-0.0843458,0.0335697,-9.78595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992542,0.00173658,-0.00698745,-0.12169,0.0,0.0,0.0,0.0,0.000923525,0.00061412,0.00178447,0.0,0,0
33975931,-0.122855,0.00435886,-9.73371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992547,0.00175592,-0.00698215,-0.121649,0.0,0.0,0.0,0.0,0.000369816,-0.000746381,0.00237806,0.0,0,0
33995894,-0.16702,-0.0640686,-9.78199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99255,0.00177429,-0.00698299,-0.121626,0.0,0.0,0.0,0.0,0.00189102,0.00218637,0.00336432,0.0,0,0
34015893,-0.141446,-0.0885209,-9.80814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992555,0.0017899,-0.00696228,-0.121586,0.0,0.0,0.0,0.0,0.00134893,0.00233215,0.00925927,0.0,0,0
34035941,-0.0897511,-0.0764353,-9.73821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992562,0.00179234,-0.00695606,-0.121525,0.0,0.0,0.0,0.0,0.000162024,5.00105e-05,-0.00417672,0.0,0,0
34055893,-0.135671,-0.100975,-9.80714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992566,0.00181905,-0.00694192,-0.121495,0.0,0.0,0.0,0.0,0.000935202,0.00198042,0.00838137,0.0,0,0
34079891,-0.0869823,-0.0741055,-9.7948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992567,0.00183643,-0.00692855,-0.12149,0.0,0.0,0.0,0.0,0.00365733,-0.00181189,-0.0152078,0.0,0,0
34099899,-0.144616,-0.134458,-9.88219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992562,0.00188048,-0.00688467,-0.121528,0.0,0.0,0.0,0.0,0.00228167,0.00785761,0.0173898,0.0,0,0
34119927,-0.0517743,0.0162999,-9.68314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992569,0.00187403,-0.00689642,-0.121472,0.0,0.0,0.0,0.0,0.000276645,-0.00406126,-0.00792902,0.0,0,0
