timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
130137765,130137317,-0.0177534,-0.00157574,0.000381503,0.0,0.0,0.0,0.0,-1.0
130241633,130241270,-0.0162211,-0.00116676,0.000582149,0.0,0.0,0.0,0.0,-1.0
130265958,130265559,-0.0163817,-0.00116727,0.000708769,0.0,0.0,0.0,0.0,-1.0
130285661,130285300,-0.0177324,-0.00125886,0.00130403,0.0,0.0,0.0,0.0,-1.0
130305671,130305310,-0.0173295,-0.00074206,0.00128548,0.0,0.0,0.0,0.0,-1.0
130325628,130325271,-0.0163852,-0.00142074,0.000689876,0.0,0.0,0.0,0.0,-1.0
130349774,130349342,-0.0166934,-0.00183198,0.000825581,0.0,0.0,0.0,0.0,-1.0
130369605,130369253,-0.0161491,-0.00139823,0.00121208,0.0,0.0,0.0,0.0,-1.0
130390078,130389762,-0.01757,-0.000893079,0.000283526,0.0,0.0,0.0,0.0,-1.0
130411092,130410469,-0.0166067,-0.00201004,0.00224433,0.0,0.0,0.0,0.0,-1.0
130433744,130433314,-0.0161966,-0.00555324,0.000910372,0.0,0.0,0.0,0.0,-1.0
130454123,130453801,-0.0162934,-0.00239122,0.000935438,0.0,0.0,0.0,0.0,-1.0
130474176,130473863,-0.019886,0.000382924,0.000578334,0.0,0.0,0.0,0.0,-1.0
130494390,130493848,-0.0165808,-0.00143284,0.00159291,0.0,0.0,0.0,0.0,-1.0
130517838,130517396,-0.0141563,-0.00371737,0.000385084,0.0,0.0,0.0,0.0,-1.0
130537777,130537337,-0.014276,-0.00274772,0.000996413,0.0,0.0,0.0,0.0,-1.0
130557811,130557365,-0.0181141,0.00144457,0.000793152,0.0,0.0,0.0,0.0,-1.0
130577772,130577336,-0.0160437,-0.00449555,0.00207356,0.0,0.0,0.0,0.0,-1.0
130601733,130601288,-0.0145243,-0.00658341,0.000639268,0.0,0.0,0.0,0.0,-1.0
130622798,130622431,-0.0189872,0.00255926,-5.7483e-05,0.0,0.0,0.0,0.0,-1.0
130642145,130641834,-0.0159293,-0.00272209,0.00159325,0.0,0.0,0.0,0.0,-1.0
130662378,130661809,-0.0198517,-0.00188908,0.000427366,0.0,0.0,0.0,0.0,-1.0
130686130,130685812,-0.0147384,-0.00426084,0.000882192,0.0,0.0,0.0,0.0,-1.0
130707192,130706800,-0.0189363,-0.00036376,0.000387589,0.0,0.0,0.0,0.0,-1.0
130726034,130725661,-0.0140561,-0.00097702,0.00137018,0.0,0.0,0.0,0.0,-1.0
130745776,130745334,-0.019168,0.000287337,0.00100317,0.0,0.0,0.0,0.0,-1.0
130769683,130769302,-0.0146279,-0.0039232,0.00119527,0.0,0.0,0.0,0.0,-1.0
130789743,130789318,-0.0179617,-0.00041459,0.00119471,0.0,0.0,0.0,0.0,-1.0
130809688,130809305,-0.0161805,-0.00232767,0.000795329,0.0,0.0,0.0,0.0,-1.0
130829666,130829280,-0.0181688,-0.00134058,0.00203969,0.0,0.0,0.0,0.0,-1.0
130853778,130853334,-0.0166647,-0.00495983,0.000249713,0.0,0.0,0.0,0.0,-1.0
130873837,130873490,-0.0176724,0.00389196,0.000656137,0.0,0.0,0.0,0.0,-1.0
130893742,130893287,-0.0176873,-0.00344112,0.00225685,0.0,0.0,0.0,0.0,-1.0
130913735,130913299,-0.013894,-0.00816795,0.00101786,0.0,0.0,0.0,0.0,-1.0
130937754,130937308,-0.0152281,-0.00291643,0.000513763,0.0,0.0,0.0,0.0,-1.0
130957855,130957502,-0.0201188,0.000966624,0.0010022,0.0,0.0,0.0,0.0,-1.0
130977791,130977363,-0.0180027,0.00135171,0.000644752,0.0,0.0,0.0,0.0,-1.0
130997809,130997378,-0.0192035,0.00187085,0.000328292,0.0,0.0,0.0,0.0,-1.0
131017752,131017322,-0.0192637,0.003897,0.000722445,0.0,0.0,0.0,0.0,-1.0
131042127,131041807,-0.0177416,-0.00330054,0.000818482,0.0,0.0,0.0,0.0,-1.0
131063164,131062764,-0.0184556,-0.00128265,0.000509486,0.0,0.0,0.0,0.0,-1.0
131081636,131081263,-0.0173709,-0.000614942,0.000693696,0.0,0.0,0.0,0.0,-1.0
131101634,131101261,-0.0177498,0.000538902,0.000755,0.0,0.0,0.0,0.0,-1.0
131125629,131125266,-0.0165988,-0.00351689,0.00067501,0.0,0.0,0.0,0.0,-1.0
131150083,131149770,-0.0156352,0.0022443,0.000248344,0.0,0.0,0.0,0.0,-1.0
131169894,131169541,-0.0165391,0.000875253,0.000596004,0.0,0.0,0.0,0.0,-1.0
131193651,131193289,-0.0198062,-0.00389177,0.000758325,0.0,0.0,0.0,0.0,-1.0
131213682,131213327,-0.0174095,-0.00400384,0.00134321,0.0,0.0,0.0,0.0,-1.0
131234727,131234346,-0.0165779,0.00203326,-0.000564155,0.0,0.0,0.0,0.0,-1.0
131254616,131254158,-0.0139622,0.00283073,0.00109169,0.0,0.0,0.0,0.0,-1.0
131275391,131274907,-0.0166955,0.000128983,-0.000342348,0.0,0.0,0.0,0.0,-1.0
131295380,131294889,-0.016878,-0.00472101,0.0010499,0.0,0.0,0.0,0.0,-1.0
131319401,131318939,-0.0176118,0.000114084,-0.000408108,0.0,0.0,0.0,0.0,-1.0
131339381,131338921,-0.0165207,0.00289797,0.000404935,0.0,0.0,0.0,0.0,-1.0
131359713,131359404,-0.0158362,0.000344889,-0.000132169,0.0,0.0,0.0,0.0,-1.0
131380705,131380159,-0.016424,-0.00381955,0.000870909,0.0,0.0,0.0,0.0,-1.0
131399369,131398913,-0.0176935,-0.00137902,8.17728e-05,0.0,0.0,0.0,0.0,-1.0
131423247,131422848,-0.0162342,0.00129556,0.000702074,0.0,0.0,0.0,0.0,-1.0
131443261,131442862,-0.0178833,-0.00149488,0.000374852,0.0,0.0,0.0,0.0,-1.0
131464731,131464162,-0.0164811,-0.000514241,0.000369634,0.0,0.0,0.0,0.0,-1.0
131483371,131482906,-0.0173881,-0.00131957,0.00048254,0.0,0.0,0.0,0.0,-1.0
131511269,131510869,-0.0161193,-0.00198829,0.000691893,0.0,0.0,0.0,0.0,-1.0
131531728,131531425,-0.0168041,-0.000988221,0.000366984,0.0,0.0,0.0,0.0,-1.0
131551877,131551526,-0.0170438,-0.00150183,0.000139429,0.0,0.0,0.0,0.0,-1.0
131571245,131570887,-0.0176154,-0.0002409,0.000662601,0.0,0.0,0.0,0.0,-1.0
131595228,131594861,-0.0160107,-0.000422603,0.000125813,0.0,0.0,0.0,0.0,-1.0
131619670,131619370,-0.0168683,-0.00330225,0.00109748,0.0,0.0,0.0,0.0,-1.0
131640382,131640003,-0.0174812,-0.0021541,0.000332673,0.0,0.0,0.0,0.0,-1.0
131660503,131659985,-0.0164304,1.63488e-06,0.000363376,0.0,0.0,0.0,0.0,-1.0
131683266,131682895,-0.017275,-0.00464952,0.000348536,0.0,0.0,0.0,0.0,-1.0
131703800,131703476,-0.0158717,0.000530876,0.000740708,0.0,0.0,0.0,0.0,-1.0
131723224,131722867,-0.0170344,0.000829816,0.000252723,0.0,0.0,0.0,0.0,-1.0
131743273,131742876,-0.0178732,-0.00249913,0.00065744,0.0,0.0,0.0,0.0,-1.0
131763368,131762906,-0.0157993,-0.00284247,0.00079245,0.0,0.0,0.0,0.0,-1.0
131787409,131786895,-0.0165086,-0.00105339,0.000745774,0.0,0.0,0.0,0.0,-1.0
131811725,131811422,-0.0163196,0.000497894,0.000491558,0.0,0.0,0.0,0.0,-1.0
131831900,131831513,-0.0174882,-0.00046952,0.000888966,0.0,0.0,0.0,0.0,-1.0
131851363,131850899,-0.0163461,-0.00247881,0.000968008,0.0,0.0,0.0,0.0,-1.0
131875604,131875115,-0.0160654,0.00314078,0.000818212,0.0,0.0,0.0,0.0,-1.0
131895360,131894889,-0.016901,-0.003137,0.00110367,0.0,0.0,0.0,0.0,-1.0
131915489,131915105,-0.0154997,-0.00319681,0.000729788,0.0,0.0,0.0,0.0,-1.0
131939358,131938874,-0.0165357,0.000529006,0.000632779,0.0,0.0,0.0,0.0,-1.0
131959266,131958872,-0.0167243,-0.00382858,0.000835009,0.0,0.0,0.0,0.0,-1.0
131979289,131978881,-0.016512,-0.000609613,0.000684642,0.0,0.0,0.0,0.0,-1.0
131999410,131998941,-0.0174242,0.000943082,0.000741173,0.0,0.0,0.0,0.0,-1.0
132019406,132018925,-0.0175447,-0.00464727,0.000662486,0.0,0.0,0.0,0.0,-1.0
132043264,132042858,-0.0170556,0.00170644,0.000495824,0.0,0.0,0.0,0.0,-1.0
132064438,132064056,-0.0162325,-0.0023399,0.000783139,0.0,0.0,0.0,0.0,-1.0
132084577,132084268,-0.0173969,-0.00166376,0.000733159,0.0,0.0,0.0,0.0,-1.0
132103370,132102901,-0.0164882,0.00223028,0.000557048,0.0,0.0,0.0,0.0,-1.0
132127545,132127119,-0.0181111,-0.00705534,0.0010273,0.0,0.0,0.0,0.0,-1.0
132148054,132147648,-0.0163518,0.00172428,0.000271792,0.0,0.0,0.0,0.0,-1.0
