timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2]
130557639,0.0,0.0,0.0,-0.0586786,0.0177111,-0.365829,0.0,0.0,0.0,0.13119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262022,0.262034,4.07204,0.0,0.0,0.0,0.0901663,0.0,0.0,0.0,0.0,0.0,0.00079963,0.0323751,0.0628283
130577608,0.0,0.0,0.0,-0.0586786,0.0177111,-0.365829,0.0,0.0,0.0,0.13119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262022,0.262034,4.07204,0.0,0.0,0.0,0.0901663,0.0,0.0,0.0,0.0,0.0,0.000753239,0.0325474,0.0607791
130601569,0.0,0.0,0.0,-0.0588874,0.0175915,-0.661056,0.0,0.0,0.0,0.0650016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262175,0.262187,4.07239,0.0,0.0,0.0,0.0901817,0.0,0.0,0.0,0.0,0.0,0.00072814,0.0323136,0.0643532
130622677,0.0,0.0,0.0,-0.0580508,0.017264,-0.355149,0.0,0.0,0.0,0.000131488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262059,0.26207,4.07214,0.0,0.0,0.0,0.0901817,0.0,0.0,0.0,0.0,0.0,0.000752623,0.0317891,0.064424
130642012,0.0,0.0,0.0,-0.0580508,0.017264,-0.355149,0.0,0.0,0.0,-0.0241817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262059,0.26207,4.07214,0.0,0.0,0.0,0.0901817,0.0,0.0,0.0,0.0,0.0,0.000731688,0.0320692,0.0617844
130661987,0.0,0.0,0.0,-0.0577523,0.017075,-0.253321,0.0,0.0,0.0,-0.0125648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262079,0.26209,4.07219,0.0,0.0,0.0,0.0901817,0.0,0.0,0.0,0.0,0.0,0.000743414,0.0312643,0.0607506
130686000,0.0,0.0,0.0,-0.0577523,0.017075,-0.253321,0.0,0.0,0.0,-0.0722885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262079,0.26209,4.07219,0.0,0.0,0.0,0.0901816,0.0,0.0,0.0,0.0,0.0,0.000764117,0.0316707,0.0586713
130706987,0.0,0.0,0.0,-0.057726,0.0169647,-0.450519,0.0,0.0,0.0,-0.0722885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262164,0.262176,4.07238,0.0,0.0,0.0,0.0901816,0.0,0.0,0.0,0.0,0.0,0.000798008,0.0310907,0.061153
130725898,0.0,0.0,0.0,-0.057726,0.0169647,-0.450519,0.0,0.0,0.0,-0.101506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262164,0.262176,4.07238,0.0,0.0,0.0,0.0901818,0.0,0.0,0.0,0.0,0.0,0.000894889,0.0314439,0.0600615
130745604,0.0,0.0,0.0,-0.0569287,0.0167115,-0.543921,0.0,0.0,0.0,-0.101506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262048,0.26206,4.07213,0.0,0.0,0.0,0.0901818,0.0,0.0,0.0,0.0,0.0,0.000919096,0.0312558,0.0626073
130769561,0.0,0.0,0.0,-0.0569287,0.0167115,-0.543921,0.0,0.0,0.0,-0.101506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262048,0.26206,4.07213,0.0,0.0,0.0,0.0901818,0.0,0.0,0.0,0.0,0.0,0.000886254,0.0314024,0.0598287
130789576,0.0,0.0,0.0,-0.0564229,0.0164818,-0.042291,0.0,0.0,0.0,-0.101506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262004,0.262015,4.07203,0.0,0.0,0.0,0.0901818,0.0,0.0,0.0,0.0,0.0,0.000890221,0.0303094,0.0562614
130809564,0.0,0.0,0.0,-0.0564229,0.0164818,-0.042291,0.0,0.0,0.0,-0.109994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262004,0.262015,4.07203,0.0,0.0,0.0,0.0901826,0.0,0.0,0.0,0.0,0.0,0.000998163,0.0307736,0.0545785
130829543,0.0,0.0,0.0,-0.057297,0.017071,-0.53836,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262223,0.262235,4.07253,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00240805,0.0316756,0.0587129
130853607,0.0,0.0,0.0,-0.0559504,0.0166564,-0.332609,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261973,0.261984,4.07197,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.002417,0.030913,0.0585744
130873673,0.0,0.0,0.0,-0.0549479,0.0163042,-0.229877,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261803,0.261814,4.07158,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00241615,0.0301588,0.0571099
130893565,0.0,0.0,0.0,-0.0549479,0.0163042,-0.229877,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261803,0.261814,4.07158,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00239607,0.0302923,0.0546863
130913568,0.0,0.0,0.0,-0.0549479,0.0163042,-0.229877,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261803,0.261814,4.07158,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00237676,0.0303657,0.0528401
130937573,0.0,0.0,0.0,-0.056783,0.0166953,-0.231663,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262359,0.262371,4.07283,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00237145,0.0293842,0.0517148
130957680,0.0,0.0,0.0,-0.0556594,0.0163108,0.265385,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262165,0.262177,4.07242,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00232299,0.0277988,0.046096
130977622,0.0,0.0,0.0,-0.0543108,0.0158323,-0.335109,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26192,0.261931,4.07186,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.0023143,0.0273804,0.0462303
130997642,0.0,0.0,0.0,-0.0543108,0.0158323,-0.335109,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26192,0.261931,4.07186,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00228115,0.0276979,0.045408
131022692,0.0,0.0,0.0,-0.053616,0.0154027,-0.431585,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261897,0.261908,4.07181,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00227058,0.0261265,0.0456592
131041985,0.0,0.0,0.0,-0.053616,0.0154027,-0.431585,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261897,0.261908,4.07181,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00216064,0.0265946,0.0445448
131062942,0.0,0.0,0.0,-0.0539725,0.0153647,-0.229637,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262055,0.262066,4.07216,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00205287,0.0258454,0.0438637
131081514,0.0,0.0,0.0,-0.0539725,0.0153647,-0.229637,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262055,0.262066,4.07216,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00202153,0.026332,0.0432693
131107108,0.0,0.0,0.0,-0.0540033,0.0152505,0.0680891,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262142,0.262153,4.07236,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00183586,0.0253667,0.0400978
131130980,0.0,0.0,0.0,-0.0527371,0.0148294,-0.0338589,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261898,0.261909,4.07181,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00173645,0.0246428,0.0382864
131149948,0.0,0.0,0.0,-0.0527371,0.0148294,-0.0338589,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261898,0.261909,4.07181,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00162619,0.0253016,0.0385244
131169767,0.0,0.0,0.0,-0.0527371,0.0148294,-0.0338589,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261898,0.261909,4.07181,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00159749,0.0259052,0.0385958
131193524,0.0,0.0,0.0,-0.0528231,0.0147292,-0.135662,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261992,0.262003,4.07201,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00150679,0.0252691,0.0374437
131213557,0.0,0.0,0.0,-0.0528231,0.0147292,-0.135662,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261992,0.262003,4.07201,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00137938,0.0257056,0.0380476
131234530,0.0,0.0,0.0,-0.0528892,0.0146409,0.0612832,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262082,0.262093,4.07221,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00126233,0.0247357,0.0366454
131254423,0.0,0.0,0.0,-0.0523999,0.0144172,-0.14064,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262037,0.262048,4.0721,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00118289,0.0240834,0.0354879
131275181,0.0,0.0,0.0,-0.0512079,0.0140544,-0.139958,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261801,0.261811,4.07156,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.0011117,0.0235226,0.0344798
131295177,0.0,0.0,0.0,-0.0512079,0.0140544,-0.139958,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261801,0.261811,4.07156,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.00101759,0.0242196,0.0353936
131319208,0.0,0.0,0.0,-0.0512079,0.0140544,-0.139958,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261801,0.261811,4.07156,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.000930212,0.0248785,0.0363442
131339185,0.0,0.0,0.0,-0.0520522,0.0141885,-0.340123,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262095,0.262106,4.07221,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.000876909,0.0240438,0.035226
131359582,0.0,0.0,0.0,-0.0511216,0.0138886,0.257722,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26192,0.261931,4.07181,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.000823867,0.0233504,0.0343882
131380337,0.0,0.0,0.0,-0.0504378,0.0136221,-0.442414,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26182,0.26183,4.07157,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.000813871,0.0228591,0.0330952
131403661,0.0,0.0,0.0,-0.0504378,0.0136221,-0.442414,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26182,0.26183,4.07157,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.000757452,0.0235426,0.0340027
131423122,0.0,0.0,0.0,-0.0504378,0.0136221,-0.442414,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26182,0.26183,4.07157,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.000683106,0.0233412,0.0346217
131443139,0.0,0.0,0.0,-0.0518538,0.0138607,-0.341188,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262259,0.26227,4.07255,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.000688502,0.0227156,0.0334862
131464345,0.0,0.0,0.0,-0.050893,0.0135885,-0.337365,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262074,0.262085,4.07214,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.000675939,0.0220216,0.032999
131488400,0.0,0.0,0.0,-0.0497753,0.013235,-0.0362633,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261836,0.261846,4.0716,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.000680265,0.0214239,0.0317279
131511144,0.0,0.0,0.0,-0.0497753,0.013235,-0.0362633,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261836,0.261846,4.0716,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.000644378,0.0220811,0.0324782
131531603,0.0,0.0,0.0,-0.0497753,0.013235,-0.0362633,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261836,0.261846,4.0716,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.000592969,0.0225301,0.0333568
131551704,0.0,0.0,0.0,-0.0504095,0.0132908,0.0588391,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262077,0.262087,4.07213,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.000612416,0.021842,0.0323503
131576325,0.0,0.0,0.0,-0.0504469,0.0131937,-0.342009,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262165,0.262176,4.07232,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.000617476,0.0211249,0.0312208
131600289,0.0,0.0,0.0,-0.0495231,0.0128946,-0.0412551,0.0,0.0,0.0,-0.780791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261986,0.261996,4.07192,0.0,0.0,0.0,0.0901827,0.0,0.0,0.0,0.0,0.0,0.000619967,0.0203669,0.0302323
