timestamp,ref_timestamp,ref_lat,ref_lon,surface_bottom_timestamp,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,delta_vxy[0],delta_vxy[1],delta_vz,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
132292224,0,0.0,0.0,132292305,0.0,0.0,1.93297,0.0,0.0,0.0,-0.0529114,0.000908228,-0.115966,0.0,0.0,0.0,1.56953,0.0,0.13482,0.115966,0.150988,0.265423,0,1,0,1,0,0,0,0,0,1,0
132391234,0,0.0,0.0,132391389,0.0,0.0,1.93854,0.0,0.0,0.0,-0.0520695,0.0028857,-0.117026,0.0,0.0,0.0,1.56943,0.0,0.140864,0.117026,0.151037,0.265424,0,1,0,1,0,0,0,0,0,1,0
132495432,0,0.0,0.0,132495522,0.0,0.0,1.94564,0.0,0.0,0.0,-0.054458,0.00278145,-0.117912,0.0,0.0,0.0,1.56945,0.0,0.142987,0.117912,0.154671,0.267798,0,1,0,1,0,0,0,0,0,1,0
132595490,0,0.0,0.0,132595570,0.0,0.0,1.95082,0.0,0.0,0.0,-0.0552263,0.00247704,-0.119159,0.0,0.0,0.0,1.56936,0.0,0.139212,0.119159,0.153373,0.266953,0,1,0,1,0,0,0,0,0,1,0
132695438,0,0.0,0.0,132695519,0.0,0.0,1.95701,0.0,0.0,0.0,-0.0549514,0.00405855,-0.118965,0.0,0.0,0.0,1.56936,0.0,0.143609,0.118965,0.153848,0.267227,0,1,0,1,0,0,0,0,0,1,0
132800179,0,0.0,0.0,132800260,0.0,0.0,1.97002,0.0,0.0,0.0,-0.0557071,0.00588602,-0.119656,0.0,0.0,0.0,1.56943,0.0,0.148243,0.119656,0.151099,0.265392,0,1,0,1,0,0,0,0,0,1,0
132898929,0,0.0,0.0,132899106,0.0,0.0,1.97577,0.0,0.0,0.0,-0.0582436,0.00715192,-0.120378,0.0,0.0,0.0,1.56945,0.0,0.145232,0.120378,0.160421,0.266678,0,1,0,1,0,0,0,0,0,1,0
133002998,0,0.0,0.0,133003182,0.0,0.0,1.98734,0.0,0.0,0.0,-0.0609288,0.00796334,-0.119606,0.0,0.0,0.0,1.56945,0.0,0.133668,0.119606,0.172596,0.266953,0,1,0,1,0,0,0,0,0,1,0
133102938,0,0.0,0.0,133103113,0.0,0.0,2.005,0.0,0.0,0.0,-0.0641086,0.0114071,-0.11946,0.0,0.0,0.0,1.56962,0.0,0.116008,0.11946,0.184575,0.2667,0,1,0,1,0,0,0,0,0,1,0
133203151,0,0.0,0.0,133203232,0.0,0.0,2.02833,0.0,0.0,0.0,-0.068288,0.0145871,-0.116542,0.0,0.0,0.0,1.56964,0.0,0.0926745,0.116542,0.196712,0.266153,0,1,0,1,0,0,0,0,0,1,0
133306890,0,0.0,0.0,133306972,0.0,0.0,2.04883,0.0,0.0,0.0,-0.075131,0.0172247,-0.11343,0.0,0.0,0.0,1.56979,0.0,0.0721781,0.11343,0.210555,0.266155,0,1,0,1,0,0,0,0,0,1,0
133407469,0,0.0,0.0,133407561,0.0,0.0,2.07005,0.0,0.0,0.0,-0.0769209,0.0161941,-0.112757,0.0,0.0,0.0,1.57028,0.0,0.0509503,0.112757,0.225687,0.266436,0,1,0,1,0,0,0,0,0,1,0
133506982,0,0.0,0.0,133507145,0.0,0.0,2.08259,0.0,0.0,0.0,-0.0849577,0.0196014,-0.114158,0.0,0.0,0.0,1.5708,0.0,0.0384159,0.114158,0.238596,0.267725,0,1,0,1,0,0,0,0,0,1,0
133611665,0,0.0,0.0,133611748,0.0,0.0,2.09895,0.0,0.0,0.0,-0.0891767,0.0193187,-0.119212,0.0,0.0,0.0,1.57107,0.0,0.022054,0.119212,0.25511,0.267979,0,1,0,1,0,0,0,0,0,1,0
