timestamp,load,ram_usage
130672337,0.610655,0.813949
131678034,0.573017,0.813326
132684858,0.580474,0.815609
133689358,0.573251,0.813949
134695366,0.569873,0.813326
135701114,0.584694,0.815609
136706569,0.576566,0.813949
137711607,0.606297,0.813326
138716159,0.591297,0.815609
139721394,0.577017,0.813949
140726895,0.592526,0.815609
141733528,0.59446,0.815609
142738303,0.588749,0.813949
143742714,0.593573,0.815609
144748372,0.584833,0.813949
145754846,0.599704,0.813949
146759228,0.603338,0.815609
147770164,0.602528,0.813949
148775451,0.612672,0.813326
149782171,0.609535,0.815609
150787895,0.605783,0.813949
151793187,0.605739,0.813326
152797791,0.615178,0.815609
153804496,0.625112,0.813949
154809681,0.60723,0.813326
155814301,0.623301,0.815609
156819590,0.613095,0.813949
157824358,0.605018,0.815609
158830103,0.598913,0.815609
159834760,0.584844,0.813949
160841621,0.59976,0.815609
161846901,0.58783,0.813949
162853825,0.589666,0.813949
163859264,0.595934,0.815609
164863933,0.584141,0.813949
165869083,0.5892,0.813326
166873617,0.595874,0.815609
167879105,0.586103,0.813949
168885864,0.589568,0.813326
169891186,0.615583,0.815609
170895898,0.588344,0.813949
171901197,0.590304,0.813326
172905287,0.599541,0.815609
173910751,0.588829,0.813949
174915763,0.590696,0.815609
175921238,0.595888,0.815609
176926798,0.576662,0.813949
177933402,0.600433,0.815609
178938688,0.588865,0.813949
179943409,0.594485,0.813949
180947895,0.625876,0.815609
181953168,0.602781,0.813949
182958665,0.594433,0.813326
183964055,0.602262,0.815609
184970469,0.588116,0.813949
185975183,0.592805,0.813326
186981131,0.597143,0.815609
187986644,0.592273,0.813949
188991648,0.590739,0.813326
189999246,0.607344,0.815609
191004416,0.597991,0.813949
192010712,0.592622,0.813326
193015213,0.61485,0.815609
194020981,0.591407,0.813949
195025815,0.622433,0.815609
196030569,0.568229,0.815609
197036317,0.547068,0.813949
198041066,0.556442,0.815609
199046322,0.585666,0.813949
200052187,0.572942,0.813326
201058152,0.588895,0.815609
202063690,0.582045,0.813949
203068864,0.588629,0.813326
204074308,0.577395,0.815609
205079199,0.570833,0.813949
206086119,0.567986,0.813326
207091236,0.604013,0.815609
208096832,0.584328,0.813949
209104720,0.577988,0.813326
210111104,0.572648,0.815609
211116705,0.557982,0.813949
212122481,0.577203,0.815609
213132431,0.578927,0.815609
214137866,0.578951,0.813949
215143115,0.596365,0.815609
216150132,0.570577,0.813949
217156006,0.552283,0.813949
218161881,0.580546,0.815609
219167756,0.578259,0.813949
220172973,0.567412,0.813326
221181011,0.583717,0.815609
222184804,0.591658,0.813949
223192339,0.585094,0.813326
224197491,0.610509,0.815609
225203987,0.59021,0.813949
226208486,0.578312,0.813326
227213144,0.602936,0.815609
228218131,0.583379,0.813949
229222639,0.604126,0.815609
230228310,0.610406,0.815609
231234131,0.608529,0.813949
232238710,0.619875,0.815609
233243258,0.600693,0.813949
234248697,0.604018,0.813949
235253122,0.625154,0.815609
236259504,0.614098,0.813949
237265275,0.611891,0.813326
238270639,0.642232,0.815609
239275238,0.583877,0.813949
