timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,airspeed_valid,quat_reset_counter
130557365,0.0717988,-0.321672,-9.8097,-0.00488763,0.0521449,-0.115203,-0.0400162,-0.0212951,1.86608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707446,-0.0160339,-0.0179748,-0.706357,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00237267,-0.00399252,-0.00122716,0.234207,0,2
130577336,-0.148225,-0.526139,-9.75209,-0.00635421,0.0525508,-0.114656,-0.0399296,-0.0210428,1.86863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707532,-0.0160161,-0.0180247,-0.70627,0.999153,-0.00386212,-0.0106643,0.0395665,0.00304279,0.0063701,-0.00694655,0.256766,0,2
130601288,-0.273193,-0.276597,-9.78598,-0.00461673,0.0513054,-0.113284,-0.0399767,-0.0208352,1.87142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707505,-0.0160445,-0.0180094,-0.706297,0.999153,-0.00386212,-0.0106643,0.0395665,0.0025313,-0.000540683,1.33704e-05,0.274724,0,2
130622431,0.382127,-0.477669,-9.83073,-0.00480425,0.0515048,-0.112948,-0.0398329,-0.0206064,1.87453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707524,-0.0160792,-0.0179956,-0.706278,0.999153,-0.00386212,-0.0106643,0.0395665,0.00568907,-0.00602191,0.00364662,0.284048,0,2
130641834,-0.161475,-0.686327,-9.81258,-0.00553851,0.0510408,-0.11084,-0.0397137,-0.0203662,1.87756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70751,-0.016061,-0.0179749,-0.706292,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00111409,-0.000117413,-0.00471521,0.286052,0,2
130661809,0.0682391,-0.0502127,-9.77329,-0.00485688,0.0524925,-0.110488,-0.0394942,-0.0201564,1.88062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707539,-0.016051,-0.0179677,-0.706264,0.999153,-0.00386212,-0.0106643,0.0395665,0.00032474,0.000423152,0.00133552,0.285218,0,2
130685812,0.0385519,-0.272623,-9.88422,-0.0040787,0.0501864,-0.108598,-0.0396653,-0.0199143,1.88292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707522,-0.0160772,-0.0179335,-0.706281,0.999153,-0.00386212,-0.0106643,0.0395665,0.000122091,-0.0020055,-0.0010717,0.2825,0,2
130706800,0.406665,-0.421999,-9.78611,-0.00459085,0.0523366,-0.108049,-0.0401424,-0.0198623,1.88344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707546,-0.0160886,-0.0179505,-0.706256,0.999153,-0.00386212,-0.0106643,0.0395665,0.00295723,-0.00152791,0.0015987,0.299849,0,2
130725661,-0.0725087,-0.752344,-9.66282,-0.0049751,0.0502645,-0.107339,-0.0406565,-0.0197878,1.88388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707521,-0.0161277,-0.0179204,-0.706281,0.999153,-0.00386212,-0.0106643,0.0395665,0.00333235,-0.00503804,-0.0035119,0.302547,0,2
130745334,-0.251295,-0.432964,-9.93437,-0.00557363,0.0531035,-0.106946,-0.0405587,-0.0195428,1.88704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70755,-0.0161218,-0.0179102,-0.706252,0.999153,-0.00386212,-0.0106643,0.0395665,0.000953591,0.00152807,-0.00145046,0.319956,0,2
130769302,-0.376067,-0.457683,-9.90088,-0.00614076,0.0526669,-0.104595,-0.0407149,-0.0193122,1.88983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707545,-0.0160999,-0.0178881,-0.706259,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00301063,0.00338475,-0.00245819,0.324703,0,2
130789318,-0.087997,-0.241898,-9.8562,-0.00358416,0.0528992,-0.104143,-0.040575,-0.0190929,1.89271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707589,-0.0160987,-0.0178219,-0.706217,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00388484,-0.00612994,-0.00211529,0.314542,0,2
130809305,0.163665,-0.235561,-9.97485,-0.00399763,0.0518326,-0.10316,-0.0405823,-0.0188235,1.8953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707539,-0.0161645,-0.0178314,-0.706264,0.999153,-0.00386212,-0.0106643,0.0395665,0.0070722,-0.0046817,-0.000503596,0.316578,0,2
130829280,0.363588,-0.186306,-9.80038,-0.00396083,0.0527777,-0.102092,-0.0404991,-0.0185462,1.8986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707597,-0.0161247,-0.0178691,-0.706207,0.999153,-0.00386212,-0.0106643,0.0395665,0.000931276,0.00652268,-0.00626817,0.330414,0,2
130853334,-0.0852257,-0.177609,-10.0647,-0.00296609,0.0516214,-0.101411,-0.0405531,-0.0183043,1.90165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707537,-0.016172,-0.0178741,-0.706266,0.999153,-0.00386212,-0.0106643,0.0395665,0.00507899,-0.00117933,0.00220962,0.327568,0,2
130873490,0.528723,-0.439686,-9.8969,-0.00344335,0.0516677,-0.0995239,-0.0403283,-0.0180918,1.90507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707474,-0.0162287,-0.0178502,-0.706327,0.999153,-0.00386212,-0.0106643,0.0395665,0.00293109,-0.00693989,-0.000315366,0.364128,0,2
130893287,0.361386,-0.10619,-9.62775,-0.00407723,0.0535084,-0.098559,-0.0402294,-0.0178199,1.90811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707493,-0.0161798,-0.0178729,-0.706309,0.999153,-0.00386212,-0.0106643,0.0395665,-0.0033043,0.00872083,-0.00816756,0.375445,0,2
130913299,0.176592,-0.303128,-9.67613,-0.00334791,0.0511999,-0.0987931,-0.0402601,-0.0175152,1.91083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707497,-0.0161978,-0.0178807,-0.706304,0.999153,-0.00386212,-0.0106643,0.0395665,0.00259499,-8.80089e-05,-0.00194205,0.363361,0,2
130937308,-0.0693412,0.207767,-10.0457,-0.00368417,0.0526968,-0.0994592,-0.0404028,-0.0172636,1.91322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707441,-0.0161922,-0.0178626,-0.706361,0.999153,-0.00386212,-0.0106643,0.0395665,0.00376753,-0.000229671,0.000134699,0.388385,0,2
130957502,0.13415,0.152162,-10.0764,-0.00290084,0.0533703,-0.0985949,-0.0402224,-0.0170282,1.91527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707435,-0.0162399,-0.0178626,-0.706366,0.999153,-0.00386212,-0.0106643,0.0395665,0.00787997,-0.00680855,-0.00235428,0.382094,0,2
130977363,0.213137,0.030032,-10.0636,-0.00299209,0.05259,-0.0985717,-0.0399721,-0.0168162,1.91754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707417,-0.0162557,-0.0178824,-0.706383,0.999153,-0.00386212,-0.0106643,0.0395665,0.00842513,-0.00373007,-0.000703645,0.377585,0,2
130997378,0.347718,-0.329177,-9.96894,-0.0024727,0.0516504,-0.0975268,-0.0398592,-0.0165761,1.91952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707391,-0.0162695,-0.0178723,-0.70641,0.999153,-0.00386212,-0.0106643,0.0395665,0.00524773,-0.00705482,0.000667978,0.363526,0,2
131022446,-0.00447845,-0.319795,-10.1681,-0.00335914,0.0511836,-0.0975804,-0.0391515,-0.0162473,1.92321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707365,-0.016265,-0.0178638,-0.706435,0.999153,-0.00386212,-0.0106643,0.0395665,0.00461077,-0.00532087,-0.00334815,0.348028,0,2
131041807,0.0548106,0.0256754,-10.1614,-0.0030968,0.0509501,-0.0966439,-0.0389438,-0.0160392,1.92534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707339,-0.016251,-0.017861,-0.706462,0.999153,-0.00386212,-0.0106643,0.0395665,0.000313613,0.00141403,-0.00219138,0.36707,0,2
