timestamp,windspeed_north,windspeed_east,covariance_north,covariance_east
130261490,0.0,0.0,0.0,0.0
130361495,0.0,0.0,0.0,0.0
130466001,0.0,0.0,0.0,0.0
130565569,0.0,0.0,0.0,0.0
130665807,0.0,0.0,0.0,0.0
130769553,0.0,0.0,0.0,0.0
130869590,0.0,0.0,0.0,0.0
130969540,0.0,0.0,0.0,0.0
131073937,0.0,0.0,0.0,0.0
131174521,0.0,0.0,0.0,0.0
131275174,0.0,0.0,0.0,0.0
131380330,0.0,0.0,0.0,0.0
131479125,0.0,0.0,0.0,0.0
131579658,0.0,0.0,0.0,0.0
131683138,0.0,0.0,0.0,0.0
131783145,0.0,0.0,0.0,0.0
131883589,0.0,0.0,0.0,0.0
131987736,0.0,0.0,0.0,0.0
132087143,0.0,0.0,0.0,0.0
132192387,0.0,0.0,0.0,0.0
132292362,0.0,0.0,0.0,0.0
132391446,0.0,0.0,0.0,0.0
132495579,0.0,0.0,0.0,0.0
132595627,0.0,0.0,0.0,0.0
132695576,0.0,0.0,0.0,0.0
132800316,0.0,0.0,0.0,0.0
132899163,0.0,0.0,0.0,0.0
133003239,0.0,0.0,0.0,0.0
133103170,0.0,0.0,0.0,0.0
133203288,0.0,0.0,0.0,0.0
133307083,0.0,0.0,0.0,0.0
133407623,0.0,0.0,0.0,0.0
133507202,0.0,0.0,0.0,0.0
133611805,0.0,0.0,0.0,0.0
133711151,0.0,0.0,0.0,0.0
133815642,0.0,0.0,0.0,0.0
133915130,0.0,0.0,0.0,0.0
134015286,0.0,0.0,0.0,0.0
134116768,0.0,0.0,0.0,0.0
134221361,0.0,0.0,0.0,0.0
134320727,0.0,0.0,0.0,0.0
134420722,0.0,0.0,0.0,0.0
134524811,0.0,0.0,0.0,0.0
134626054,0.0,0.0,0.0,0.0
134728765,0.0,0.0,0.0,0.0
134828755,0.0,0.0,0.0,0.0
134928811,0.0,0.0,0.0,0.0
135034031,0.0,0.0,0.0,0.0
135132704,0.0,0.0,0.0,0.0
135232689,0.0,0.0,0.0,0.0
135336799,0.0,0.0,0.0,0.0
135436731,0.0,0.0,0.0,0.0
135540719,0.0,0.0,0.0,0.0
135640717,0.0,0.0,0.0,0.0
135740743,0.0,0.0,0.0,0.0
135845214,0.0,0.0,0.0,0.0
135944826,0.0,0.0,0.0,0.0
136044772,0.0,0.0,0.0,0.0
136149352,0.0,0.0,0.0,0.0
136248702,0.0,0.0,0.0,0.0
136353879,0.0,0.0,0.0,0.0
136454436,0.0,0.0,0.0,0.0
136552716,0.0,0.0,0.0,0.0
136656791,0.0,0.0,0.0,0.0
136756692,0.0,0.0,0.0,0.0
136858080,0.0,0.0,0.0,0.0
136960764,0.0,0.0,0.0,0.0
137060740,0.0,0.0,0.0,0.0
137164729,0.0,0.0,0.0,0.0
137265149,0.0,0.0,0.0,0.0
137364725,0.0,0.0,0.0,0.0
137468781,0.0,0.0,0.0,0.0
137570694,0.0,0.0,0.0,0.0
137670775,0.0,0.0,0.0,0.0
137770344,0.0,0.0,0.0,0.0
137874353,0.0,0.0,0.0,0.0
137974354,0.0,0.0,0.0,0.0
138079400,0.0,0.0,0.0,0.0
138183404,0.0,0.0,0.0,0.0
138282354,0.0,0.0,0.0,0.0
138383404,0.0,0.0,0.0,0.0
138486817,0.0,0.0,0.0,0.0
138587420,0.0,0.0,0.0,0.0
138690334,0.0,0.0,0.0,0.0
138791539,0.0,0.0,0.0,0.0
138890844,0.0,0.0,0.0,0.0
138994371,0.0,0.0,0.0,0.0
139094350,0.0,0.0,0.0,0.0
139198808,0.0,0.0,0.0,0.0
139298356,0.0,0.0,0.0,0.0
139398342,0.0,0.0,0.0,0.0
139502403,0.0,0.0,0.0,0.0
139602811,0.0,0.0,0.0,0.0
139702338,0.0,0.0,0.0,0.0
139806364,0.0,0.0,0.0,0.0
139906783,0.0,0.0,0.0,0.0
140010990,0.0,0.0,0.0,0.0
140110309,0.0,0.0,0.0,0.0
140210792,0.0,0.0,0.0,0.0
140314965,0.0,0.0,0.0,0.0
140414315,0.0,0.0,0.0,0.0
140514727,0.0,0.0,0.0,0.0
140618383,0.0,0.0,0.0,0.0
140718374,0.0,0.0,0.0,0.0
140822815,0.0,0.0,0.0,0.0
140923788,0.0,0.0,0.0,0.0
141022397,0.0,0.0,0.0,0.0
141126333,0.0,0.0,0.0,0.0
141227104,0.0,0.0,0.0,0.0
141327978,0.0,0.0,0.0,0.0
141429524,0.0,0.0,0.0,0.0
141531911,0.0,0.0,0.0,0.0
141631921,0.0,0.0,0.0,0.0
141732884,0.0,0.0,0.0,0.0
141835878,0.0,0.0,0.0,0.0
141935881,0.0,0.0,0.0,0.0
142039966,0.0,0.0,0.0,0.0
142140065,0.0,0.0,0.0,0.0
142240582,0.0,0.0,0.0,0.0
142344882,0.0,0.0,0.0,0.0
142443998,0.0,0.0,0.0,0.0
142543982,0.0,0.0,0.0,0.0
142649085,0.0,0.0,0.0,0.0
142748353,0.0,0.0,0.0,0.0
142851899,0.0,0.0,0.0,0.0
142952588,0.0,0.0,0.0,0.0
143052827,0.0,0.0,0.0,0.0
143156423,0.0,0.0,0.0,0.0
143255890,0.0,0.0,0.0,0.0
143355925,0.0,0.0,0.0,0.0
143459976,0.0,0.0,0.0,0.0
143559971,0.0,0.0,0.0,0.0
143663911,0.0,0.0,0.0,0.0
143763898,0.0,0.0,0.0,0.0
143864554,0.0,0.0,0.0,0.0
143968606,0.0,0.0,0.0,0.0
144067904,0.0,0.0,0.0,0.0
144168351,0.0,0.0,0.0,0.0
144271985,0.0,0.0,0.0,0.0
144371954,0.0,0.0,0.0,0.0
144475933,0.0,0.0,0.0,0.0
144576343,0.0,0.0,0.0,0.0
144676571,0.0,0.0,0.0,0.0
144781401,0.0,0.0,0.0,0.0
144879946,0.0,0.0,0.0,0.0
144979952,0.0,0.0,0.0,0.0
145084731,0.0,0.0,0.0,0.0
145183804,0.0,0.0,0.0,0.0
145285606,0.0,0.0,0.0,0.0
145390779,0.0,0.0,0.0,0.0
145490779,0.0,0.0,0.0,0.0
145590719,0.0,0.0,0.0,0.0
145693608,0.0,0.0,0.0,0.0
