timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
130821848,-0.000190076,0.00614744,-0.0133668,-0.707573,-0.0161129,-0.0178484,-0.706231
130829306,0.00828238,-0.00317141,-0.00874727,-0.707597,-0.0161247,-0.0178691,-0.706207
130842088,0.00551356,-0.00904138,0.0120053,-0.707535,-0.0161837,-0.0178514,-0.706268
130853360,-0.00235052,0.00357108,-0.0114039,-0.707537,-0.016172,-0.0178741,-0.706266
130862723,0.00237854,0.00591311,-0.0118188,-0.707569,-0.0161594,-0.0178906,-0.706233
130873516,0.00845143,-0.0120754,0.0155001,-0.707474,-0.0162287,-0.0178502,-0.706327
130885825,-0.00729915,0.0183211,-0.0159142,-0.707539,-0.0161502,-0.0178588,-0.706264
130897491,0.017664,-0.025134,0.0303838,-0.707444,-0.0162388,-0.0178597,-0.706357
130909293,-0.00788895,0.0134923,-0.0189524,-0.70748,-0.0162288,-0.0178652,-0.706322
130917945,-0.00288362,-0.00569478,0.0105919,-0.707475,-0.0161995,-0.0178665,-0.706327
130929330,0.00919911,-0.00352838,0.00683194,-0.707425,-0.0162517,-0.0178838,-0.706375
130942487,-0.0120854,0.00266405,-0.000417483,-0.707435,-0.0161687,-0.0178477,-0.706368
130953305,0.0140202,-0.00611736,-0.0150295,-0.707421,-0.0162462,-0.0178568,-0.70638
130965835,0.00635872,0.00843216,0.00380091,-0.707413,-0.0162142,-0.0178801,-0.706389
130973578,0.010879,-0.00884694,-0.0120908,-0.707392,-0.0162843,-0.0178816,-0.706408
130985303,0.00199722,0.000539707,0.00630435,-0.707393,-0.0162184,-0.0178739,-0.706408
130997404,-0.00267661,0.0115963,-0.0268884,-0.707391,-0.0162695,-0.0178723,-0.70641
131005369,-0.00604949,0.00579516,0.00301684,-0.707373,-0.0162105,-0.0178736,-0.706428
131017348,0.003901,0.0065557,-0.0242435,-0.707375,-0.0162634,-0.0178679,-0.706426
131025374,-0.0024441,-0.00122259,0.00347166,-0.707353,-0.0162606,-0.0178569,-0.706448
131037373,0.00777422,0.00989258,-0.01967,-0.707349,-0.0162493,-0.0178605,-0.706452
131049500,-0.0045575,-0.0021836,0.00244863,-0.707317,-0.0162471,-0.0178379,-0.706484
131057669,0.014341,0.000812198,-0.0171847,-0.707316,-0.0162562,-0.0178682,-0.706485
131069303,-0.0046303,0.011921,-7.05509e-05,-0.707304,-0.0162515,-0.0178551,-0.706497
131081301,-0.00215697,-0.015139,-0.00505939,-0.707299,-0.0162673,-0.0178403,-0.706502
131089273,-0.00478122,0.0101698,0.0033027,-0.707272,-0.0162256,-0.017832,-0.70653
131101287,-0.00167468,-0.0061623,-0.00793344,-0.707292,-0.0162386,-0.0177995,-0.706511
131109314,-0.000395026,-0.00191882,0.000395117,-0.70726,-0.0162163,-0.0177742,-0.706544
131121374,-0.00321217,0.0105919,0.0034184,-0.707263,-0.016225,-0.0177819,-0.70654
131133319,0.00852911,-0.0061294,-0.00873938,-0.707252,-0.0162519,-0.0177654,-0.706551
131141526,-0.0109533,-0.00421526,0.010235,-0.707237,-0.0162236,-0.0177642,-0.706568
131153558,0.000758654,0.0108325,-0.00634916,-0.707244,-0.0162425,-0.0177411,-0.706561
131165295,-0.00405519,-0.0198157,0.00259452,-0.70722,-0.0162324,-0.0176876,-0.706586
131174370,-0.00507363,0.0059658,0.0068571,-0.707227,-0.0162016,-0.0177217,-0.706579
131185339,0.00737422,-0.00452605,-0.00278291,-0.707219,-0.0161949,-0.0176454,-0.706589
131193315,-0.00815563,0.00341197,0.00580573,-0.707219,-0.0161758,-0.0176771,-0.706588
131205355,0.0109668,0.00864134,-0.000192001,-0.707248,-0.0161785,-0.0176454,-0.706561
131219369,-0.00943701,-0.00591443,0.00976107,-0.707199,-0.0161474,-0.0175912,-0.706611
131230144,-0.00684004,-0.0147942,-0.00829988,-0.707193,-0.0161419,-0.0176211,-0.706617
131242708,0.0183803,0.0136945,-0.0169678,-0.707218,-0.0161736,-0.0176453,-0.706591
131250141,-0.0092484,-0.0212636,-0.00172178,-0.707209,-0.0161946,-0.0175537,-0.706601
131262623,-0.00318369,0.00705062,-0.0019509,-0.707202,-0.0161359,-0.0176028,-0.706608
131271069,3.16049e-05,0.00312974,-0.00598655,-0.707179,-0.0161324,-0.0175626,-0.706633
131283440,-0.00708204,-0.0277295,0.00361332,-0.70718,-0.0161575,-0.0175642,-0.70663
131294919,-0.00295861,0.011003,0.00339318,-0.707204,-0.0161331,-0.0175926,-0.706606
131302933,-0.000689782,-0.00985585,0.00418957,-0.707184,-0.0161607,-0.0175337,-0.706628
131314876,-0.00162165,-0.0142667,0.020801,-0.707156,-0.016141,-0.0175711,-0.706655
131322871,0.0067183,0.0064597,-0.0172372,-0.707182,-0.0161703,-0.0175773,-0.706628
131335423,0.0032645,-0.0239831,0.0108934,-0.707162,-0.0162068,-0.0175709,-0.706647
131346925,0.00223395,-0.00433517,0.0187728,-0.707151,-0.0162066,-0.0176178,-0.706657
131355509,-0.00329933,-0.0074052,-0.00155846,-0.707155,-0.01623,-0.0175814,-0.706653
131366879,-0.00397837,-0.0160287,0.00422444,-0.707155,-0.0162348,-0.017594,-0.706653
131380185,0.0107951,0.00877363,0.000813981,-0.707174,-0.0161989,-0.0176264,-0.706635
131390922,0.00317195,0.0124379,-0.0126707,-0.707178,-0.0161763,-0.017608,-0.706632
131403508,-0.00362246,-0.00713923,-0.00566009,-0.707169,-0.0161872,-0.0175888,-0.706641
131411143,0.0146458,0.00433793,-0.011719,-0.707188,-0.0162063,-0.0176081,-0.70662
131422880,0.00131496,-0.0112057,-0.00432088,-0.707189,-0.0162427,-0.0175644,-0.70662
131434946,-0.0171433,-0.0039646,0.0101368,-0.707173,-0.0161874,-0.0175306,-0.706638
131442888,0.0107453,0.0104647,-0.00215012,-0.707195,-0.0161929,-0.0175601,-0.706615
131454935,-0.00047876,-0.0213095,0.001866,-0.707181,-0.0162258,-0.0175335,-0.706629
131464188,-0.00574919,0.00443153,0.00959881,-0.707186,-0.0162063,-0.017546,-0.706624
131475444,-0.000364553,-0.000344789,0.00210214,-0.707202,-0.016206,-0.0175457,-0.706608
131488248,0.00776969,-0.0142833,-0.0108004,-0.707196,-0.0162445,-0.0175409,-0.706613
131498925,0.00175594,0.00627617,-0.00684631,-0.707196,-0.0162038,-0.0175662,-0.706614
131510895,-0.00202105,0.0107248,0.00908647,-0.707204,-0.0161704,-0.0175698,-0.706607
131519589,0.016206,-0.0079694,-0.0264835,-0.707224,-0.0162091,-0.0175654,-0.706585
131531451,0.00729394,-0.00405232,-0.00487822,-0.707208,-0.0162157,-0.0175626,-0.706601
131542952,-0.00653209,0.00350382,0.0213755,-0.707197,-0.0162024,-0.0175639,-0.706613
131551552,0.0105083,0.00458848,-0.0203258,-0.707234,-0.0162207,-0.0175858,-0.706575
131563458,9.3075e-05,-0.0189264,-0.000305052,-0.707213,-0.0162336,-0.0175686,-0.706596
131576104,-0.00389233,-0.00403712,0.0187682,-0.707208,-0.0162299,-0.0175972,-0.7066
131586887,0.00491724,0.014916,0.00688496,-0.707227,-0.016255,-0.0176405,-0.706579
131600069,0.00863813,0.00836581,-0.0223271,-0.70726,-0.0162789,-0.0176277,-0.706546
131610868,-0.00338332,-0.0167256,-0.0151362,-0.707264,-0.0162889,-0.0175878,-0.706542
131623402,-0.00694162,-0.013152,0.0115333,-0.707246,-0.0162517,-0.0176033,-0.706561
131630905,0.00309227,0.0137673,-0.00176354,-0.707274,-0.0162444,-0.0176172,-0.706533
131642907,0.00395429,-0.0140246,-0.00176129,-0.707267,-0.0162832,-0.017607,-0.70654
131654941,0.00370681,-0.016499,0.00115504,-0.707261,-0.0162931,-0.0176176,-0.706545
131663562,-0.00117414,0.00951952,0.00920971,-0.707274,-0.0162725,-0.0176354,-0.706532
131674893,0.00172892,0.00667137,-0.00358712,-0.707276,-0.0162648,-0.0176311,-0.706531
131688179,0.00884887,-0.0150514,-0.0111156,-0.70728,-0.0162642,-0.0176453,-0.706526
131698967,-0.000725638,-0.00771011,-0.00192498,-0.707294,-0.0162703,-0.0176416,-0.706512
