timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
130348933,0.00441407,-0.00194644,0.00580686,0.004007,0,-0.0804481,-0.29773,-9.75016,0.004007,-3042,0.0167964,-0.288076,0.703065,-18755,1769.66,35.32
130352926,0.00678124,-3.87161e-06,0.0042636,0.003993,0,-0.0515217,-0.350433,-9.78791,0.003993,-7035,0.0167964,-0.288076,0.703065,-22748,1769.66,35.32
130356934,0.0133107,-0.00143702,0.000687746,0.004008,0,-0.0949206,-0.408095,-9.78818,0.004008,-2571,0.00463433,-0.316283,0.758201,-26756,1769.66,35.32
130360926,0.00867401,-0.00135785,-0.00457149,0.003992,0,-0.115515,-0.445024,-9.78601,0.003992,-6563,0.00463433,-0.316283,0.758201,-30748,1769.66,35.32
130364938,0.00340663,-0.00149853,-0.00920766,0.004012,0,-0.103575,-0.474613,-9.75676,0.004012,-2960,-0.0147938,-0.390269,0.769685,-34760,1769.66,35.32
130368926,0.000112915,0.00150516,-0.010255,0.003988,0,-0.0863493,-0.444683,-9.70527,0.003988,-6948,-0.0147938,-0.390269,0.769685,-38748,1769.66,35.32
130372926,-0.000771967,0.00516748,-0.00679862,0.004,0,0.0358351,-0.39455,-9.73638,0.004,-3109,0.0125286,0.36186,0.741856,-42748,1769.66,35.32
130376926,-0.00277882,0.00300684,0.00208369,0.004,0,0.063124,-0.374034,-9.69296,0.004,-933,0.00145718,-0.382219,0.692846,-46748,1769.66,35.32
130380926,0.00349663,0.00103251,0.0126591,0.004,0,0.0644953,-0.339789,-9.68713,0.004,-4933,0.00145718,-0.382219,0.692846,-50748,1769.66,35.32
130384926,0.00546185,-0.000436643,0.0180821,0.004,0,0.0525305,-0.330055,-9.68809,0.004,-1680,0.0237831,-0.181216,0.773392,-1818,1769.37,35.32
130388926,0.00315466,-0.000178041,0.0152957,0.004,0,-0.0470602,-0.413159,-9.78039,0.004,-5680,0.0237831,-0.181216,0.773392,-5818,1769.37,35.32
130392926,0.00369414,-0.00255432,0.00387484,0.004,0,-0.139868,-0.435625,-9.83773,0.004,-2627,0.0048444,-0.229864,0.738142,-9818,1769.37,35.32
130396926,0.0101363,-0.00208672,-0.0125215,0.004,0,-0.233096,-0.443338,-9.84416,0.004,-6627,0.0048444,-0.229864,0.738142,-13818,1769.37,35.32
130400928,0.0042818,0.00168277,-0.0218123,0.004002,0,-0.15774,-0.418392,-9.82286,0.004002,-2921,0.0088129,-0.336304,0.727931,-17820,1769.37,35.32
