timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
131063369,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131081975,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131101797,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131125792,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131150205,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131170016,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131189765,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131213861,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131234855,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131254732,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131275514,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131295736,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131319536,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131339500,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131359917,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131380829,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131399488,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131423432,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131443450,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131464865,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131483492,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131511471,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131531901,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131551993,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131571446,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131595418,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131619792,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131640503,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131660704,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
