timestamp,system_id,component_id,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,engine_failure,engine_failure_cmd,mission_failure
108570424,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
108841574,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
109066467,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
109293757,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
109519715,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
109748573,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
109979297,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
110205244,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
110436506,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
110660666,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
110889815,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
111117934,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
111346372,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
111574980,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
111807288,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
112036213,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
112262231,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
112488979,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
112713489,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
112943618,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
113169412,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
113397402,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
113622941,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
113849738,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
114075068,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
114308617,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
114533965,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
114762207,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
114988305,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
115214174,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
115446004,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
115673958,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
115904416,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
116132465,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
116363294,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
116590845,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
116820491,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
117046894,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
117276050,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
117503020,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
117732181,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
117961626,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
118187523,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
119099482,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
119327548,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
119553664,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
119780173,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
120013787,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
120238153,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
120469240,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
120699263,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
120928385,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
121154837,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
121380554,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
121608477,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
121836534,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
122061790,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
122292180,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
122518812,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
122744047,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
122971828,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
123198120,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
123427410,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
123654405,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
123884979,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
124112960,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
124341750,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
124569368,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
124795411,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
125022701,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
125252514,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
125481882,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
125710828,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
125935706,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
126162852,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
126391280,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
126621659,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
126851819,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
127078717,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
127308215,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
127542528,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
