timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,cell_count,connected,warning
130718828,11.363,11.5808,6.5632,6.33887,34.722,0.985187,3,1,0
131018813,11.825,11.5801,5.3619,5.96264,35.1757,0.984946,3,1,0
131318923,11.88,11.5994,6.0651,5.83834,35.6425,0.984714,3,1,0
131630820,11.033,11.6084,4.6294,5.76931,36.1334,0.984476,3,1,0
131930844,12.056,11.5732,10.841,6.46044,36.7335,0.978575,3,1,0
132230826,11.451,11.609,5.6549,6.43703,37.2659,0.98401,3,1,0
132530819,11.88,11.6132,6.153,6.22843,37.7585,0.983772,3,1,0
132831587,9.812,11.2579,35.3651,13.7688,39.8215,0.872351,3,1,0
133131635,9.768,10.9554,30.3548,20.506,42.3968,0.762807,3,1,0
133431613,9.284,10.7535,28.2452,23.7764,44.8014,0.699857,3,1,0
133731627,9.636,10.5611,27.2197,25.6577,47.1827,0.627363,3,1,0
134031628,10.527,10.4429,28.0401,26.4823,49.4936,0.591937,3,1,0
134331637,12.001,10.3756,13.9468,26.6178,51.7478,0.569327,3,1,0
134631620,11.803,10.7052,0.879,16.527,51.8592,0.672449,3,1,0
134931737,11.616,10.877,14.357,12.0883,52.2555,0.697708,3,1,0
135243744,11.814,11.0579,1.9045,8.77821,52.6267,0.744885,3,1,0
135543631,11.319,11.1244,3.9848,8.06139,53.1763,0.734663,3,1,0
135844413,11.979,11.2489,2.6956,6.08987,53.4422,0.775183,3,1,0
136144425,10.252,11.0056,24.2018,11.826,55.0836,0.666548,3,1,0
136444598,10.131,10.8454,20.5686,14.9772,56.736,0.611726,3,1,0
136744413,11.231,10.7733,20.8323,17.3164,58.484,0.604145,3,1,0
137044417,10.846,10.65,21.7406,18.4733,60.1741,0.553425,3,1,0
137344418,10.296,10.6047,16.408,17.9032,61.6028,0.547686,3,1,0
137644456,11.264,10.785,3.516,12.8917,62.0814,0.631317,3,1,0
137944513,9.9,10.9076,19.6896,11.0469,62.725,0.677815,3,1,0
