timestamp,timestamp_last_valid,channels[0],channels[1],channels[2],channels[3],channels[4],channels[5],channels[6],channels[7],channels[8],channels[9],channels[10],channels[11],channels[12],channels[13],channels[14],channels[15],channels[16],channels[17],frame_drop_count,channel_count,function[0],function[1],function[2],function[3],function[4],function[5],function[6],function[7],function[8],function[9],function[10],function[11],function[12],function[13],function[14],function[15],function[16],function[17],function[18],function[19],function[20],function[21],function[22],rssi,signal_lost
109373354,0,-0.012024,0.00198413,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.688,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
109383684,0,-0.012024,0.00198413,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
109392898,0,-0.01002,0.00198413,0.0,0.966068,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
109404004,0,-0.01002,0.00198413,0.0,0.966068,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.48,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
109412535,0,-0.012024,0.00198413,0.0,0.860279,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.48,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
109417818,0,-0.012024,0.00198413,0.0,0.860279,-1.0,-1.0,-1.0,-1.0,-1.0,0.688,-1.0,-1.0,-0.48,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
109427958,0,-0.01002,0.0,0.0,0.708583,-1.0,-1.0,-1.0,-1.0,-1.0,0.688,-1.0,-1.0,-0.48,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
109437173,0,-0.01002,0.0,0.0,0.708583,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
109445972,0,-0.012024,0.00198413,0.0,0.528942,-1.0,-1.0,-1.0,-1.0,-1.0,0.686,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
109454038,0,-0.012024,0.00198413,0.0,0.528942,-1.0,-1.0,-1.0,-1.0,-1.0,0.688,-1.0,-1.0,-0.478,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,6,5,5,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,10,255,0
