timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
108729645,108729645,18,255,0,0,0,1481,1497,982,2006,982,982,982,982,1000,1844,982,982,1261,982,982,982,998,998,0,0,9
108776325,108776325,18,255,0,0,0,1481,1497,982,2006,982,982,982,982,1000,1843,982,982,1261,982,982,982,998,998,0,0,9
108779542,108779542,18,255,0,0,0,1481,1497,982,2006,982,982,982,982,1000,1845,982,982,1261,982,982,982,998,998,0,0,9
108784488,108784488,18,255,0,0,0,1481,1497,982,2006,982,982,982,982,1000,1845,982,982,1261,982,982,982,998,998,0,0,9
108787714,108787714,18,255,0,0,0,1481,1497,982,2006,982,982,982,982,999,1843,982,982,1261,982,982,982,998,998,0,0,9
108793486,108793486,18,255,0,0,0,1482,1497,982,2006,982,982,982,982,999,1843,982,982,1261,982,982,982,998,998,0,0,9
108842237,108842237,18,255,0,0,0,1480,1497,982,2006,982,982,982,982,1000,1843,982,982,1261,982,982,982,998,998,0,0,9
108852554,108852554,18,255,0,0,0,1481,1496,982,2006,982,982,982,982,1000,1843,982,982,1261,982,982,982,998,998,0,0,9
108864361,108864361,18,255,0,0,0,1481,1496,982,2006,982,982,982,982,999,1843,982,982,1260,982,982,982,998,998,0,0,9
108868547,108868547,18,255,0,0,0,1482,1497,982,2006,982,982,982,982,999,1843,982,982,1260,982,982,982,998,998,0,0,9
108879312,108879312,18,255,0,0,0,1482,1497,982,2006,982,982,982,982,1000,1843,982,982,1261,982,982,982,998,998,0,0,9
108886432,108886432,18,255,0,0,0,1481,1496,982,2006,982,982,982,982,1000,1843,982,982,1261,982,982,982,998,998,0,0,9
108896680,108896680,18,255,0,0,0,1481,1496,982,2006,982,982,982,982,1000,1844,982,982,1261,982,982,982,998,998,0,0,9
108907282,108907282,18,255,0,0,0,1481,1497,982,2006,982,982,982,982,1000,1844,982,982,1261,982,982,982,998,998,0,0,9
108913432,108913432,18,255,0,0,0,1481,1497,982,2006,982,982,982,982,1000,1843,982,982,1261,982,982,982,998,998,0,0,9
108923346,108923346,18,255,0,0,0,1480,1497,982,2006,982,982,982,982,1000,1843,982,982,1261,982,982,982,998,998,0,0,9
108932820,108932820,18,255,0,0,0,1480,1497,982,2006,982,982,982,982,1000,1843,982,982,1261,982,982,982,998,998,0,0,9
