timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,R_body[0],R_body[1],R_body[2],R_body[3],R_body[4],R_body[5],R_body[6],R_body[7],R_body[8],q_d[0],q_d[1],q_d[2],q_d[3],q_e[0],q_e[1],q_e[2],q_e[3],thrust,R_valid,q_d_valid,q_e_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
109151669,-0.00856925,-0.00121203,1.94664,0.0,-0.367054,-0.930169,-0.00752268,0.930199,-0.367031,-0.00427884,0.00121899,-0.00856815,0.999963,0.562556,-0.00190617,-0.0038848,0.826748,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109171671,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524483,0.930199,-0.36704,-0.00338018,0.00121913,-0.00611944,0.999981,0.562558,-0.00121733,-0.00287257,0.826752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109191705,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524335,0.930199,-0.36704,-0.00338248,0.00122181,-0.00611891,0.999981,0.562558,-0.00121606,-0.00287311,0.826752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109212107,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638316,0.930199,-0.367036,-0.00383057,0.00122027,-0.00734364,0.999972,0.562557,-0.0015612,-0.00337896,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109231824,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638452,0.930199,-0.367036,-0.00382832,0.00121767,-0.00734407,0.999972,0.562557,-0.0015624,-0.00337841,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109251809,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638454,0.930199,-0.367036,-0.00382829,0.00121764,-0.00734408,0.999972,0.562557,-0.00156241,-0.0033784,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109272140,-0.00856925,-0.00121203,1.94664,0.0,-0.367054,-0.930169,-0.00752033,0.930199,-0.367031,-0.00428296,0.00122369,-0.00856748,0.999963,0.562556,-0.00190404,-0.00388584,0.826748,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109293105,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638078,0.930199,-0.367036,-0.00383454,0.00122483,-0.00734288,0.999972,0.562557,-0.0015591,-0.00337993,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109311890,-0.00856925,-0.00121203,1.94664,0.0,-0.367054,-0.930169,-0.00751907,0.930199,-0.367031,-0.00428519,0.00122622,-0.00856712,0.999963,0.562556,-0.00190289,-0.00388641,0.826748,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109332008,-0.00612089,-0.00242407,1.94664,0.0,-0.367053,-0.930188,-0.00479804,0.930197,-0.367033,-0.00450772,0.00243199,-0.0061177,0.999978,0.562559,-0.000715469,-0.00321301,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109352316,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638409,0.930199,-0.367036,-0.00382903,0.00121849,-0.00734393,0.999972,0.562557,-0.00156202,-0.00337858,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109381763,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638508,0.930199,-0.367036,-0.00382738,0.0012166,-0.00734425,0.999972,0.562557,-0.00156289,-0.00337818,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109402116,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524633,0.930199,-0.36704,-0.00337785,0.00121642,-0.00611998,0.999981,0.562558,-0.0012186,-0.00287203,0.826752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109422190,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638444,0.930199,-0.367036,-0.00382845,0.00121782,-0.00734404,0.999972,0.562557,-0.00156233,-0.00337844,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109441898,-0.00612089,-0.0,1.94664,0.0,-0.367054,-0.930182,-0.0056915,0.9302,-0.367047,-0.00225205,5.77017e-06,-0.00612085,0.999981,0.562557,-0.00171929,-0.00253186,0.826753,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109462019,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638393,0.930199,-0.367036,-0.0038293,0.0012188,-0.00734388,0.999972,0.562557,-0.00156188,-0.00337865,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109482248,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638437,0.930199,-0.367036,-0.00382856,0.00121795,-0.00734402,0.999972,0.562557,-0.00156227,-0.00337846,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
