timestamp,roll,pitch,yaw,thrust
108731211,0.977768,-0.331587,-0.010809,0.0
108769361,0.977715,-0.331567,-0.010792,0.0
108779363,0.977657,-0.331524,-0.0108187,0.0
108792062,0.977652,-0.331565,-0.0109061,0.0
108843547,0.96908,-0.331602,-0.0111837,0.0
108855082,0.969118,-0.331642,-0.0112042,0.0
108867628,0.977775,-0.323183,-0.0109156,0.0
108875261,0.986351,-0.33174,-0.0111522,0.0
108887206,0.986388,-0.331753,-0.0112082,0.0
108899185,0.977852,-0.323234,-0.0110527,0.0
108907185,0.977619,-0.32342,-0.0110954,0.0
108919021,0.977328,-0.332173,-0.0114476,0.0
108932112,0.968603,-0.332324,-0.0114515,0.0
108943085,0.968478,-0.332459,-0.0114572,0.0
108952083,0.976984,-0.332528,-0.0114102,0.0
108963083,0.976934,-0.332552,-0.0115164,0.0
108975093,0.985464,-0.332589,-0.0115535,0.0
108983745,0.985417,-0.332573,-0.0116055,0.0
108995059,0.968212,-0.332534,-0.0118296,0.0
109007307,0.976737,-0.332588,-0.0118278,0.0
109015326,0.97671,-0.332588,-0.0118865,0.0
109027535,0.976714,-0.332603,-0.0119616,0.0
109039189,0.976708,-0.332586,-0.0120416,0.0
109047195,0.976692,-0.33256,-0.0120812,0.0
109059227,0.976691,-0.332559,-0.012133,0.0
109072198,0.976659,-0.332573,-0.0122092,0.0
109083204,0.976666,-0.332561,-0.0122933,0.0
109095200,0.976658,-0.32413,-0.0120975,0.0
109103093,0.976551,-0.324219,-0.0121587,0.0
109115174,0.976382,-0.332823,-0.0124836,0.0
109123506,0.976348,-0.332858,-0.012484,0.0
109135070,0.976322,-0.332907,-0.0124919,0.0
109147215,0.976284,-0.332885,-0.0125412,0.0
109155316,0.967816,-0.332768,-0.0128228,0.0
109167221,0.968254,-0.332884,-0.0135953,0.0
109179170,0.986506,-0.332411,-0.0144142,0.0
109187223,0.987071,-0.332298,-0.0146602,0.0
109199292,0.987175,-0.332517,-0.0140139,0.0
109207564,0.977675,-0.333481,-0.0134367,0.0
109219038,0.976491,-0.334273,-0.0127498,0.0
109227362,0.975716,-0.334398,-0.012457,0.0
109243089,0.97561,-0.333557,-0.012305,0.0
109255167,0.975878,-0.333469,-0.0129465,0.0
109263548,0.976063,-0.33386,-0.0137107,0.0
109275237,0.968636,-0.333892,-0.014796,0.0
109287354,0.970003,-0.333888,-0.0152795,0.0
109295567,0.979044,-0.333974,-0.0152644,0.0
109307247,0.978383,-0.334831,-0.014986,0.0
109315207,0.969297,-0.334979,-0.0147993,0.0
109327236,0.985343,-0.343352,-0.0141425,0.0
109339076,0.984337,-0.343107,-0.0133821,0.0
109347486,0.975186,-0.334785,-0.0127755,0.0
109363088,0.974448,-0.335368,-0.0122481,0.0
109375068,0.974759,-0.335845,-0.0120754,0.0
109383071,0.974978,-0.335592,-0.0121278,0.0
109395415,0.975,-0.335497,-0.0122748,0.0
109403084,0.983551,-0.335418,-0.0123209,0.0
109415197,0.983563,-0.335282,-0.0124095,0.0
109427241,0.975452,-0.335279,-0.0126951,0.0
109435291,0.98434,-0.327123,-0.0125692,0.0
109447258,0.984368,-0.327781,-0.0126853,0.0
109455185,0.975721,-0.336251,-0.0129904,0.0
109467361,0.975725,-0.335721,-0.0127892,0.0
109479085,0.975358,-0.33571,-0.0125989,0.0
109487548,0.975002,-0.336341,-0.0126048,0.0
109503494,0.974999,-0.336864,-0.0128868,0.0
109515076,0.983768,-0.336477,-0.0129677,0.0
109523226,0.983469,-0.336506,-0.0129843,0.0
109535084,0.973919,-0.336612,-0.0128229,0.0
109543617,0.973251,-0.336923,-0.01272,0.0
109555193,0.972751,-0.33684,-0.0127574,0.0
109567289,0.981757,-0.336255,-0.0128606,0.0
109575286,0.982097,-0.336264,-0.0129794,0.0
109587218,0.973496,-0.336852,-0.0132828,0.0
109599090,0.972915,-0.337415,-0.0133793,0.0
109607193,0.972568,-0.337244,-0.0133591,0.0
109619176,0.97271,-0.336474,-0.0133963,0.0
109627504,0.973053,-0.336428,-0.0134794,0.0
109643177,0.973162,-0.337527,-0.0136671,0.0
109653092,0.972952,-0.337754,-0.0136209,0.0
109663144,0.972901,-0.337123,-0.0135952,0.0
109675084,0.973262,-0.336795,-0.0136456,0.0
109683085,0.982017,-0.337262,-0.0136513,0.0
109695070,0.981871,-0.337987,-0.0137633,0.0
109707187,0.981593,-0.33753,-0.0137029,0.0
109715233,0.981543,-0.33716,-0.01365,0.0
109727196,0.981556,-0.337613,-0.0137534,0.0
109739090,0.981409,-0.338448,-0.0139398,0.0
109747271,0.972598,-0.338574,-0.0140267,0.0
109759212,0.972289,-0.338064,-0.0139041,0.0
109767688,0.963904,-0.338013,-0.0140807,0.0
109779058,0.964002,-0.338429,-0.0143592,0.0
109787200,0.981127,-0.338846,-0.014323,0.0
109799259,0.972297,-0.338473,-0.0144074,0.0
109812950,0.963976,-0.33815,-0.0145386,0.0
109823105,0.964197,-0.33852,-0.014764,0.0
109832797,0.972916,-0.338774,-0.0147908,0.0
109843158,0.972732,-0.338508,-0.0147088,0.0
109853145,0.963982,-0.338337,-0.0148226,0.0
109863190,0.964087,-0.338505,-0.0149746,0.0
109875079,0.972745,-0.338778,-0.0151265,0.0
109883269,0.97269,-0.338719,-0.0150589,0.0
109895250,0.972482,-0.338731,-0.0149084,0.0
109903176,0.97249,-0.339014,-0.0149873,0.0
109915247,0.972696,-0.339038,-0.0152097,0.0
109927356,0.972885,-0.338725,-0.0152479,0.0
109935540,0.972804,-0.338707,-0.0152384,0.0
109947231,0.972569,-0.338986,-0.0153971,0.0
109959181,0.972804,-0.339018,-0.0156068,0.0
109967321,0.981599,-0.338895,-0.0155577,0.0
109979171,0.98187,-0.33076,-0.0152688,0.0
109987256,0.981537,-0.331086,-0.0153047,0.0
110003309,0.98156,-0.330913,-0.0154309,0.0
110015417,0.972989,-0.330419,-0.0154296,0.0
110023277,0.972766,-0.330647,-0.0154113,0.0
110035213,0.963454,-0.339657,-0.0158937,0.0
110043200,0.963601,-0.339613,-0.0159974,0.0
110055176,0.981075,-0.330703,-0.0156109,0.0
110067265,0.972458,-0.339859,-0.0159708,0.0
110075187,0.971988,-0.34042,-0.0160272,0.0
110087249,0.963568,-0.340265,-0.0161912,0.0
110099187,0.963826,-0.339299,-0.0161497,0.0
110107500,0.972694,-0.339453,-0.0160523,0.0
110119372,0.980795,-0.339886,-0.0160221,0.0
110127202,0.980977,-0.339809,-0.0160479,0.0
110143335,0.97323,-0.330284,-0.0158577,0.0
110155091,0.964794,-0.330827,-0.0160476,0.0
110163277,0.964404,-0.331192,-0.0161895,0.0
110175171,1.02472,-0.33071,-0.0156783,0.0
110183203,1.02508,-0.329956,-0.0156504,0.0
110195075,1.02519,-0.338658,-0.0159814,0.0
110207250,1.02456,-0.3395,-0.0161161,0.0
110215189,1.02461,-0.339269,-0.0161122,0.0
110227236,1.02514,-0.338464,-0.0160986,0.0
110239065,1.02531,-0.330489,-0.0160831,0.0
110247295,1.02499,-0.331233,-0.0162545,0.0
110259075,1.02502,-0.339742,-0.0165643,0.0
110271079,0.982812,-0.339041,-0.0169008,0.0
110279173,0.982793,-0.339271,-0.0170019,0.0
110291087,0.982305,-0.340421,-0.0172224,0.00788955
110303569,0.982452,-0.340038,-0.0172056,0.00631164
110315165,0.983399,-0.339295,-0.017212,0.00710059
110323402,0.983469,-0.339524,-0.0173625,0.00710059
110335211,0.983137,-0.331971,-0.0172212,0.0086785
110347271,0.983254,-0.33126,-0.0171238,0.0086785
110356038,0.983754,-0.339288,-0.0173725,0.00788955
110367878,0.983757,-0.339354,-0.0176563,0.00788955
110375982,1.00063,-0.339925,-0.01765,0.00710059
110387973,1.00057,-0.339495,-0.0175665,0.00710059
110399828,1.00112,-0.338966,-0.017541,0.00788955
110408186,1.00109,-0.339174,-0.0176795,0.00788955
110419886,0.983573,-0.339786,-0.0180032,0.00788955
110428190,0.974893,-0.339428,-0.0180475,0.00788955
110439845,0.975327,-0.338786,-0.0180337,0.00788955
110447990,0.975372,-0.338967,-0.0181442,0.00788955
110459891,0.975116,-0.339935,-0.0182792,0.00788955
110473386,0.97512,-0.331075,-0.0179081,0.00710059
110484318,0.975566,-0.330659,-0.0180057,0.00710059
110493699,0.975428,-0.330857,-0.0182326,0.00710059
110503972,0.97514,-0.331222,-0.0183802,0.00710059
110516011,0.983654,-0.330407,-0.0182095,0.00788955
110524391,0.983955,-0.329883,-0.0182248,0.00788955
110535982,0.983696,-0.338762,-0.0186288,0.00946746
110544466,0.983361,-0.339237,-0.0186329,0.00946746
110555975,0.983231,-0.330376,-0.0183019,0.018146
110567890,0.983467,-0.330101,-0.0183277,0.018146
110576317,0.983197,-0.339018,-0.0186918,0.0402367
110587889,0.982712,-0.330845,-0.0185708,0.0591716
110599972,0.982382,-0.330064,-0.0185975,0.0591716
110607965,0.982047,-0.338164,-0.0188151,0.0773176
110619874,0.980425,-0.338212,-0.0187985,0.0773176
110627995,0.996147,-0.337847,-0.0185743,0.0946746
110643881,0.975229,-0.334594,-0.0181358,0.0946746
110654215,0.971461,-0.332076,-0.0177079,0.0946746
110663983,0.982885,-0.328603,-0.00631533,0.0962525
110675850,0.956775,-0.322577,0.00576912,0.0946746
110684046,0.949283,-0.316099,0.00742326,0.0946746
110695891,0.927272,-0.304689,0.0168413,0.0946746
110707994,0.910391,-0.290129,0.0191869,0.0946746
110716321,0.904744,-0.269664,0.0177031,0.0962525
110728000,0.881515,-0.249659,0.0195771,0.0962525
110739860,0.870782,-0.23437,0.0214426,0.0978304
110747871,0.850444,-0.217193,0.0233228,0.0978304
110760149,0.803773,-0.18663,0.0260189,0.102564
110767887,0.787599,-0.178255,0.0284755,0.102564
110779957,0.768923,-0.173045,0.0283452,0.108087
110793204,0.759042,-0.17912,0.0092618,0.118343
110800289,0.756349,-0.178646,0.0104425,0.118343
110813763,0.758294,-0.179786,0.0122829,0.122288
110823904,0.764121,-0.182357,0.0133699,0.122288
110833117,0.769382,-0.185154,0.0140854,0.122288
110843976,0.776336,-0.181029,0.015173,0.123077
110853212,0.779517,-0.183806,0.0155065,0.123077
110864152,0.780426,-0.186086,0.0159945,0.122288
110875870,0.776976,-0.193299,0.0161472,0.122288
110884208,0.772488,-0.190354,0.016534,0.122288
110895881,0.764077,-0.184378,0.0169839,0.122288
110907947,0.753949,-0.177688,0.0174186,0.122288
110916056,0.746496,-0.173149,0.0176363,0.122288
110928196,0.734533,-0.16571,0.0179605,0.122288
110935976,0.725687,-0.151505,0.0182776,0.122288
110947869,0.710165,-0.141124,0.0184109,0.122288
110959887,0.69122,-0.135537,0.0185951,0.122288
110968289,0.676088,-0.114938,0.0191473,0.122288
110979820,0.653203,-0.095151,0.0195334,0.122288
110991883,0.62468,-0.0740415,0.0196702,0.123077
111004177,0.587464,-0.0218139,0.020488,0.124655
111015890,0.546297,0.025279,0.020777,0.124655
111024396,0.515237,0.048708,0.0239636,0.124655
111035867,0.465432,0.0853309,0.0265306,0.127811
111047880,0.427166,0.112808,0.0243158,0.127811
111056214,0.413264,0.134329,0.0228352,0.130966
111067990,0.390097,0.146537,0.020664,0.130966
111075883,0.380155,0.142713,0.0233059,0.136489
111087889,0.37455,0.145259,0.022384,0.136489
111099858,0.370191,0.144068,0.0226657,0.145168
111108175,0.377516,0.141498,0.0235935,0.145168
111119842,0.390251,0.136311,0.0254761,0.145168
111132048,0.40296,0.129283,0.0280107,0.145168
111140003,0.418324,0.13287,0.0262321,0.152268
111155937,0.427497,0.115176,0.0287574,0.152268
111164508,0.42996,0.111832,0.0333207,0.153846
111176000,0.43049,0.11074,0.0342313,0.153846
111187979,0.428757,0.112594,0.0309777,0.153846
111196368,0.426159,0.115105,0.0310839,0.153846
111207841,0.42203,0.119244,0.0346191,0.152268
111215885,0.436282,0.121766,0.0312707,0.152268
111227840,0.43178,0.125537,0.0315562,0.152268
111239890,0.427345,0.128602,0.0317263,0.152268
111248294,0.424692,0.130389,0.0320264,0.152268
111259837,0.404491,0.132033,0.0249936,0.151479
111271855,0.402798,0.133098,0.0250301,0.151479
111279831,0.393701,0.133705,0.0250889,0.152268
111291828,0.394443,0.133735,0.0251568,0.152268
111304963,0.396328,0.1332,0.0255804,0.153846
111315892,0.398088,0.132813,0.0258335,0.153846
111327844,0.399328,0.141082,0.0261872,0.155424
111335989,0.399643,0.141206,0.026278,0.155424
111348104,0.408035,0.132616,0.0259767,0.157002
111356018,0.4075,0.132897,0.0258454,0.157002
