timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],states[24],states[25],states[26],states[27],states[28],states[29],states[30],states[31],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],covariances[24],covariances[25],covariances[26],covariances[27],pos_horiz_accuracy,pos_vert_accuracy,gps_check_fail_flags,control_mode_flags,filter_fault_flags,nan_flags,health_flags,timeout_flags
108750945,-9.7117,10.7775,0.853307,0.0361155,0.00663119,-0.0750774,0.00596441,0.000882628,-0.0216635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.18946,0.189461,0.0574673,0.0205468,0.0205469,0.0178556,7.92921e-05,7.92763e-05,7.84355e-05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61275,0.238145,0,0,0,0,0,3
108849716,-9.70811,10.7782,0.853077,0.0367749,0.00727718,-0.0778085,0.00596521,0.000885182,-0.0216804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.196406,0.196407,0.0585242,0.0215664,0.0215666,0.0185539,7.93908e-05,7.93746e-05,7.8517e-05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625606,0.24177,0,0,0,0,0,3
108899745,-9.70715,10.7573,0.86705,0.0319422,-0.00101492,-0.0720434,0.00601407,0.000832161,-0.0217502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.186032,0.186032,0.0572976,0.0200799,0.0200801,0.0175437,7.93249e-05,7.93093e-05,7.84784e-05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608884,0.23922,0,0,0,0,0,3
108959795,-9.70522,10.7573,0.855017,0.0321741,-9.75221e-05,-0.0779313,0.00601329,0.000829642,-0.0217335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.190091,0.190092,0.0577349,0.0206992,0.0206994,0.0179618,7.93849e-05,7.93691e-05,7.85276e-05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615472,0.240125,0,0,0,0,0,3
109009789,-9.70361,10.7573,0.83745,0.0323262,-0.000186143,-0.0844456,0.00601186,0.00082507,-0.0217033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.193585,0.193585,0.0581083,0.0212153,0.0212155,0.0183027,7.94348e-05,7.94188e-05,7.85682e-05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.621094,0.240901,0,0,0,0,0,3
109059809,-9.70199,10.7573,0.827496,0.0324419,-8.18556e-06,-0.0894709,0.00601125,0.00082311,-0.0216904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.197187,0.197188,0.0584922,0.021732,0.0217322,0.0186372,7.94848e-05,7.94686e-05,7.86084e-05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626871,0.241724,0,0,0,0,0,3
109109829,-9.69697,10.7413,0.824368,0.0306019,-0.00455714,-0.0877441,0.00603995,0.0008,-0.0217278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.187145,0.187145,0.0574042,0.020434,0.0204341,0.0177799,7.94297e-05,7.94141e-05,7.85786e-05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.610691,0.239438,0,0,0,0,0,3
109169893,-9.69512,10.7411,0.816632,0.031573,0.000359937,-0.0943365,0.00603969,0.00079917,-0.0217223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.191275,0.191275,0.0578568,0.0210538,0.021054,0.0181937,7.94897e-05,7.94739e-05,7.86275e-05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.617373,0.240374,0,0,0,0,0,3
109220049,-9.69375,10.741,0.802355,0.0246375,-0.00539481,-0.111999,0.00603871,0.000796038,-0.0217016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.19484,0.19484,0.0582491,0.0215718,0.021572,0.0185324,7.95399e-05,7.95238e-05,7.8668e-05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623085,0.241183,0,0,0,0,0,3
109270388,-9.69249,10.7408,0.783019,0.0269275,-0.0034847,-0.111095,0.00603721,0.000791195,-0.0216696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.198528,0.198529,0.0586587,0.0220921,0.0220923,0.0188662,7.95902e-05,7.9574e-05,7.87082e-05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628924,0.242013,0,0,0,0,0,3
