timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,airspeed_valid
108750656,0.465242,1.43738,-9.76467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559409,0.060295,0.0478527,-0.82531,-0.000399645,-0.000334966,-0.00125493,0.0,0
108774676,0.461312,1.4365,-9.75194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559407,0.06029,0.0478512,-0.825311,-0.000429349,-0.000402735,-0.000344849,0.0,0
108858655,0.46621,1.4373,-9.76785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559358,0.0602977,0.0478514,-0.825345,-0.000444507,0.000276059,-0.00113686,0.0,0
108878655,0.456838,1.43159,-9.77049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559337,0.0603035,0.0478564,-0.825358,-0.000716371,0.000205133,0.000310563,0.0,0
108898687,0.465205,1.43942,-9.76219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559331,0.060305,0.0478568,-0.825362,0.000200852,-1.30665e-05,-0.000297838,0.0,0
108922702,0.469825,1.43008,-9.77742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559317,0.0603115,0.0478067,-0.825374,-0.000539543,0.000380677,-0.000834947,0.0,0
108942655,0.46527,1.43267,-9.76456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559324,0.0603175,0.0477831,-0.82537,0.000174587,0.000501874,-0.000344542,0.0,0
108962657,0.479075,1.43961,-9.77436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559303,0.0603159,0.0477749,-0.825384,-0.000260212,-0.000331356,-0.00106414,0.0,0
108982658,0.455172,1.42435,-9.76095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559279,0.0603108,0.0477715,-0.825402,0.000150898,-0.000452664,-0.000679165,0.0,0
109006703,0.468334,1.44389,-9.76979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559258,0.0603075,0.0477652,-0.825416,0.000283358,-0.000224885,0.000137705,0.0,0
109026655,0.466976,1.43023,-9.76669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559238,0.0603063,0.0477647,-0.82543,-0.00052916,-0.000120511,-0.000505832,0.0,0
109046655,0.465145,1.45378,-9.78018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559221,0.0603019,0.0477664,-0.825442,0.000299585,-0.000655876,-1.03659e-05,0.0,0
109066655,0.456187,1.43869,-9.77338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559207,0.0603013,0.0477659,-0.825451,0.000251382,0.000263278,-0.000560026,0.0,0
109090655,0.466131,1.43863,-9.78274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559183,0.0603005,0.0477648,-0.825468,-0.000776363,-0.000279247,-0.000620342,0.0,0
109110655,0.454294,1.44156,-9.77036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559162,0.0603013,0.047744,-0.825483,0.000404572,5.05834e-05,-9.13398e-05,0.0,0
109130655,0.466792,1.44683,-9.77457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559163,0.0603032,0.0477361,-0.825483,-0.000377445,-0.000274697,-0.0003581,0.0,0
109150655,0.472887,1.45522,-9.81168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55914,0.0602961,0.0477418,-0.825499,-0.00124583,-0.00359541,0.00500701,0.0,0
109174682,0.544135,1.39835,-9.73005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.558907,0.0603159,0.0478376,-0.825649,-0.0155185,-0.0114225,0.027668,0.0,0
109194655,0.457287,1.47599,-9.74492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.558874,0.0603451,0.0479212,-0.825664,-0.000732076,0.00604447,-0.0223683,0.0,0
109214655,0.63173,1.39078,-9.58936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559094,0.0603898,0.0477231,-0.825524,0.0105015,0.00819968,-0.0205192,0.0,0
109234655,0.53285,1.37057,-9.63601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.559188,0.0603333,0.0476523,-0.825468,-0.00200603,-0.00905625,-0.0106403,0.0,0
109258655,0.531555,1.43048,-9.85281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55904,0.0603256,0.0476863,-0.825567,-0.00202169,0.00171221,0.031255,0.0,0
