timestamp,ref_timestamp,ref_lat,ref_lon,surface_bottom_timestamp,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,delta_vxy[0],delta_vxy[1],delta_vz,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
12239796,12239796,0.0,0.0,12239796,0.0,0.0,2.58659,0.0,0.0,0.0,0.0,0.0,1.24821,0.0,0.0,0.0,-2.05246,-107.922,-2.49347,-1.24821,5.45105,0.269922,0,1,0,1,0,0,0,0,0,1,1
12339847,12339847,0.0,0.0,12339847,0.0,0.0,2.72187,0.0,0.0,0.0,0.0,0.0,1.2943,0.0,0.0,0.0,-2.05316,-107.922,-2.62889,-1.2943,5.49561,0.271612,0,1,0,1,0,0,0,0,0,1,1
12439987,12439987,0.0,0.0,12439987,0.0,0.0,2.89162,0.0,0.0,0.0,0.0,0.0,1.33767,0.0,0.0,0.0,-2.05394,-107.922,-2.79967,-1.33767,5.5407,0.273134,0,1,0,1,0,0,0,0,0,1,1
12550132,12550132,0.0,0.0,12550132,0.0,0.0,3.10686,0.0,0.0,0.0,0.0,0.0,1.40086,0.0,0.0,0.0,-2.05811,-107.922,-3.01684,-1.40086,5.59084,0.274613,0,1,0,1,0,0,0,0,0,1,1
12650341,12650341,0.0,0.0,12650341,0.0,0.0,3.29632,0.0,0.0,0.0,0.0,0.0,1.44846,0.0,0.0,0.0,-2.05868,-107.922,-3.20791,-1.44846,5.63697,0.275804,0,1,0,1,0,0,0,0,0,1,1
12750412,12750412,0.0,0.0,12750412,0.0,0.0,3.49154,0.0,0.0,0.0,0.0,0.0,1.49601,0.0,0.0,0.0,-2.05959,-107.922,-3.40502,-1.49601,5.68349,0.276833,0,1,0,1,0,0,0,0,0,1,1
12850603,12850603,0.0,0.0,12850603,0.0,0.0,3.73247,0.0,0.0,0.0,0.0,0.0,1.55734,0.0,0.0,0.0,-2.05897,-107.922,-3.64961,-1.55734,5.73053,0.277747,0,1,0,1,0,0,0,0,0,1,1
12950629,12950629,0.0,0.0,12950629,0.0,0.0,3.97334,0.0,0.0,0.0,0.0,0.0,1.53266,0.0,0.0,0.0,-2.05996,-107.922,-3.89428,-1.53266,5.77794,0.278521,0,1,0,1,0,0,0,0,0,1,1
13050874,13050874,0.0,0.0,13050874,0.0,0.0,4.20665,0.0,0.0,0.0,0.0,0.0,1.3932,0.0,0.0,0.0,-2.05801,-107.922,-4.13156,-1.3932,5.82589,0.279214,0,1,0,1,0,0,0,0,0,1,1
13150952,13150952,0.0,0.0,13150952,0.0,0.0,4.21426,0.0,0.0,0.0,0.0,0.0,1.20577,0.0,0.0,0.0,-2.05536,-107.922,-4.13306,-1.20577,5.87421,0.279789,0,1,0,1,0,0,0,0,0,1,1
