timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
29670447,11.583,11.6106,10.6945,10.4329,55.5707,0.848403,1.02494,3,1,0
29970516,11.627,11.6055,10.5187,10.4868,56.4506,0.846,1.02534,3,1,0
30270412,11.561,11.5985,12.5111,10.8285,57.3858,0.843732,1.02573,3,1,0
30582431,11.495,11.579,12.4232,11.3832,58.4432,0.836352,1.02697,3,1,0
30882430,11.495,11.5635,12.1302,11.6808,59.4548,0.830217,1.02801,3,1,0
31182540,11.528,11.5506,12.3353,11.8587,60.4646,0.825011,1.0289,3,1,0
31482462,11.583,11.5499,10.3722,11.6382,61.4152,0.824995,1.0289,3,1,0
31782444,11.572,11.5491,10.7238,11.2846,62.3098,0.823463,1.02916,3,1,0
32084040,11.583,11.5545,10.8117,11.036,63.2017,0.82538,1.02883,3,1,0
32384040,11.539,11.5558,10.9582,10.8959,64.092,0.825392,1.02883,3,1,0
32684012,11.484,11.5587,10.8117,10.7813,64.9769,0.826333,1.02867,3,1,0
32984163,11.594,11.5596,10.6652,10.7304,65.8657,0.826433,1.02865,3,1,0
33284040,11.55,11.5572,10.7238,10.7157,66.7557,0.824864,1.02892,3,1,0
33584166,11.572,11.5559,10.8117,10.6859,67.643,0.823955,1.02908,3,1,0
33884085,11.528,11.5483,11.4856,10.9665,68.5874,0.82092,1.02959,3,1,0
34184139,11.462,11.534,13.2143,11.5169,69.6093,0.81584,1.03046,3,1,0
34484163,11.473,11.5145,13.0385,12.1852,70.7084,0.809164,1.0316,3,1,0
34796073,11.341,11.4959,13.3901,12.6338,71.8586,0.802234,1.03278,3,1,0
35097642,11.495,11.4838,10.6359,12.6017,72.9185,0.796987,1.03368,3,1,0
35397680,11.517,11.4934,9.5225,11.6394,73.7717,0.799051,1.03333,3,1,0
35697774,11.583,11.5145,8.7607,10.5343,74.5105,0.805414,1.03224,3,1,0
35997611,11.484,11.5259,13.185,10.2382,75.3134,0.808911,1.03164,3,1,0
36297636,11.385,11.5015,12.3353,11.3062,76.3957,0.799382,1.03327,3,1,0
36597694,11.55,11.4891,12.0716,11.7895,77.4419,0.795014,1.03402,3,1,0
36897654,11.572,11.502,9.8741,11.0543,78.2767,0.799455,1.03326,3,1,0
37197623,11.616,11.5172,9.5225,10.4695,79.0747,0.804837,1.03234,3,1,0
37497612,11.484,11.5199,10.6066,10.4598,79.9402,0.805644,1.0322,3,1,0
37797620,11.462,11.5163,10.9289,10.6599,80.8524,0.803936,1.03249,3,1,0
38097638,11.528,11.5097,11.72,11.011,81.8105,0.80172,1.03287,3,1,0
38399395,11.451,11.5018,11.72,11.2218,82.7788,0.798732,1.03338,3,1,0
38699302,11.44,11.4913,11.5735,11.3903,83.7497,0.794211,1.03416,3,1,0
38999291,11.495,11.4862,11.6321,11.455,84.7132,0.792237,1.03449,3,1,0
39311269,11.407,11.4726,13.2143,11.8414,85.7781,0.786889,1.03541,3,1,0
39611288,11.44,11.4553,13.2729,12.362,86.8745,0.780735,1.03647,3,1,0
39911210,11.385,11.4427,12.4525,12.6327,87.9627,0.776384,1.03722,3,1,0
40211304,11.418,11.4414,11.1926,12.3337,88.9607,0.775376,1.0374,3,1,0
40511261,11.429,11.4427,11.6028,12.0152,89.9191,0.774996,1.03746,3,1,0
40811267,11.407,11.4452,11.1633,11.7898,90.8725,0.775524,1.03737,3,1,0
41111274,11.506,11.4528,10.255,11.3688,91.7738,0.777782,1.03698,3,1,0
41412856,11.55,11.4607,10.2257,10.9089,92.6286,0.779724,1.03665,3,1,0
41712976,11.484,11.47,10.4015,10.6328,93.4804,0.782897,1.0361,3,1,0
42012846,11.44,11.4763,10.255,10.4489,94.328,0.784823,1.03577,3,1,0
42312920,11.528,11.4825,10.0792,10.4113,95.1909,0.787,1.0354,3,1,0
42612832,11.462,11.4834,10.5773,10.4238,96.0586,0.786884,1.03542,3,1,0
42912811,11.484,11.4726,11.6614,10.9943,97.0428,0.782682,1.03614,3,1,0
43212828,11.517,11.4613,11.2219,11.29,98.0228,0.778083,1.03693,3,1,0
43524843,11.473,11.4654,10.6359,11.0096,98.9449,0.779432,1.0367,3,1,0
43824831,11.495,11.4664,10.841,10.8263,99.8223,0.779137,1.03675,3,1,0
44124865,11.495,11.4666,11.1926,10.9571,100.748,0.779314,1.03672,3,1,0
44426510,11.363,11.4504,13.3315,11.5608,101.785,0.773234,1.03777,3,1,0
44726506,11.396,11.4321,12.9506,12.197,102.882,0.766911,1.03886,3,1,0
45026406,11.396,11.4172,12.6576,12.51,103.964,0.761641,1.03978,3,1,0
