timestamp,timestamp_last_valid,channels[0],channels[1],channels[2],channels[3],channels[4],channels[5],channels[6],channels[7],channels[8],channels[9],channels[10],channels[11],channels[12],channels[13],channels[14],channels[15],channels[16],channels[17],frame_drop_count,channel_count,function[0],function[1],function[2],function[3],function[4],function[5],function[6],function[7],function[8],function[9],function[10],function[11],function[12],function[13],function[14],function[15],function[16],function[17],function[18],function[19],function[20],function[21],function[22],rssi,signal_lost
10128332,0,0.0,0.0,0.0,0.978431,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10214707,0,0.0,0.0,0.0,0.25098,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10224184,0,0.0,0.0,0.0,0.25098,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10231690,0,0.0,0.0,0.0,0.156863,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10240065,0,0.0,0.0,0.0,0.156863,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10249080,0,0.0,0.0,0.0,0.0745098,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10259536,0,0.0,0.0,0.0,0.0745098,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10269176,0,0.0,0.0,0.0,0.0176471,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10275946,0,0.0,0.0,0.0,0.0176471,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10285171,0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10295564,0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10304510,0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10312310,0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10322379,0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10329179,0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10339697,0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10348886,0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
10359902,0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.179688,-0.092,0.0507812,-1.0,-0.012,-0.012,-1.0,-1.0,0,18,0,1,2,3,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,12,10,11,-1,7,-1,-1,255,0
