timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,airspeed_valid,quat_reset_counter
10219069,0.175852,0.0364471,-9.48679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.541033,-0.00463103,-0.000708673,0.840988,0.0,0.0,0.0,0.0,-0.00273183,0.00726722,-0.000860645,0.0,0,0
10239119,0.0828527,-0.0037207,-9.46679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.540714,-0.00466533,-0.000785628,0.841193,0.0,0.0,0.0,0.0,-0.00156025,0.00352074,-0.00230771,0.0,0,0
10259117,0.0967667,-0.0261503,-9.49585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.540673,-0.00466683,-0.000732032,0.841219,0.0,0.0,0.0,0.0,0.00814953,-0.00678594,-0.000917898,0.0,0,0
10279119,0.00767227,-0.0062004,-9.51037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.540361,-0.0046507,-0.000669839,0.84142,0.0,0.0,0.0,0.0,0.00127777,-0.00050554,-0.000902633,0.0,0,0
10303117,-0.0199507,-0.0690778,-9.48094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.539837,-0.00466496,-0.000705158,0.841757,0.0,0.0,0.0,0.0,-0.00348827,0.00820837,-0.00289517,0.0,0,0
10323115,0.0641561,-0.000861963,-9.47315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.539963,-0.00470772,-0.000823793,0.841675,0.0,0.0,0.0,0.0,-0.00676995,0.00983968,-0.000474639,0.0,0,0
10343114,0.0675782,0.0902489,-9.51471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.539596,-0.0047178,-0.000909411,0.841911,0.0,0.0,0.0,0.0,-0.00634701,0.00727872,-0.00596154,0.0,0,0
10363069,0.00368609,-0.0905259,-9.5241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.539676,-0.00477068,-0.00102505,0.841859,0.0,0.0,0.0,0.0,-0.00646922,0.0104648,0.000717977,0.0,0,0
10387085,0.139141,0.0712066,-9.4417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.539651,-0.004782,-0.00106239,0.841875,0.0,0.0,0.0,0.0,0.0029264,-0.00166752,-0.00281383,0.0,0,0
10411114,0.0487348,-0.0445055,-9.56139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.539768,-0.00478379,-0.00103855,0.841799,0.0,0.0,0.0,0.0,0.00238626,0.000415549,-0.00393325,0.0,0,0
10431114,-0.0184605,-0.0455206,-9.54703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.539531,-0.00483847,-0.00119251,0.841951,0.0,0.0,0.0,0.0,-0.0196015,0.0224394,-0.00204156,0.0,0,0
10451114,0.00690746,-0.00909448,-9.54451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.539134,-0.00489247,-0.00143461,0.842205,0.0,0.0,0.0,0.0,-0.0119306,0.0147816,0.00104287,0.0,0,0
